eta,eta_seed,alpha,theta,sigma,n_firms,amenity_converged,amenity_iterations,amenity_gap,baseline_converged,baseline_iterations,baseline_gap,wage_foc_log_gap,labor_consistency_gap,markdown_consistency_gap,markdown_consistency_log_gap,seed_markdown_max_abs_gap,employment_max_abs_gap_vs_data,wage_max_abs_log_gap_vs_data,mean,sd,min,p05,p25,median,p75,p95,p995,max
0.1,0.1,0.8,5.0,0.25,5482,true,333,9.796651597587802e-11,true,1,1.5543122344752192e-15,1.1102230246251571e-15,1.1709383462843448e-17,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,9.796651337379281e-11,1.1731726701145213e-11,1.0515215738322945,0.007862243449817884,1.0500001127480254,1.050007081544792,1.0500413451459973,1.0501638912534297,1.050687026507416,1.0551659635182855,1.0984614233072179,1.2191478142327434
0.9,0.1,0.8,5.0,0.25,5482,true,333,9.796651597587802e-11,true,1151,9.938672107523416e-11,9.360956453991333e-11,7.632783294297951e-17,3.268496584496461e-13,4.884981308350677e-15,,0.027099858115959784,4.352638860009082,1.1058728273474467,1.189348222836788,1.0500000406953953,1.0500067740084953,1.050083468181575,1.0505662949660275,1.0547623101993477,1.1574385198742057,1.5046175854170785,66.08320068445381
3.0,0.1,0.8,5.0,0.25,5482,true,333,9.796651597587802e-11,true,1193,9.828693414704048e-11,9.346046159645496e-11,1.0148132334464322e-16,2.7939677238464355e-7,1.099120794378911e-14,,0.02761952594364609,17.35366593651742,9882.818799103648,509987.53124946036,1.0500000000111305,1.050000005179738,1.0500001394508076,1.0500068365191437,1.0513338636372374,1.2001319090905218,2.656594827386699,2.877891244636288e7
