eta,theta,beta1,beta2,beta3,beta4,objective,converged,max_gap,max_iter
0.03,0.16,-0.034958126981667746,0.016121472588744017,-0.018806522804908594,0.002134918783390392,0.007037620247146588,True,1.8433040570808856e-05,25
0.04,0.12,-0.035736698056543614,0.01648049203022506,-0.019228820173394223,0.0021829103162548163,0.0070494304905822786,True,1.6405577798916937e-05,26
0.025,0.2,-0.03556632839622368,0.01638332646299521,-0.01920822526763802,0.0021819545921854303,0.007050711112372758,True,1.5731675475638696e-05,25
0.005,1.0,-0.024938011638361717,0.011487758810540552,-0.013437248314367805,0.001525910315324206,0.0070524636947284095,True,1.9994767243680656e-05,17
0.0175,0.3,-0.03536625177112545,0.016267862785315824,-0.019190084635271585,0.002181612679434504,0.007052674035898664,True,1.9934902199203464e-05,24
0.02,0.16,-0.023668801797398418,0.011011139297396184,-0.012350345287949377,0.0013943865025446457,0.0070578542738750005,True,1.724331429198145e-05,24
0.0075,0.5,-0.023274868369781175,0.010796198203989684,-0.012258259482312687,0.0013864348606212383,0.007071407192843241,True,1.8318799640759664e-05,20
0.025,0.12,-0.022727055110496823,0.010584109627658034,-0.011817828565953361,0.0013333743593471675,0.007077572651591051,True,1.9556936271314385e-05,24
0.0125,0.25,-0.022045913654919744,0.010260202657046715,-0.011485931264126097,0.0012964305110313905,0.0070957379380166725,True,1.540429600010995e-05,23
0.015,0.2,-0.021754671807402363,0.010131277648504121,-0.011310265146183157,0.0012760796983530382,0.007102527052352614,True,1.8617883324356654e-05,23
0.0125,0.5,-0.037850141186175704,0.017308353270804717,-0.020957564531714885,0.0023902132076041183,0.007125217457394303,True,1.9970335349395185e-05,22
0.0075,1.0,-0.03649281120963858,0.016560689546141667,-0.020724461340541445,0.0023723769299866197,0.007126758379113892,True,1.8075796218486317e-05,17
0.015,0.4,-0.038179810487982364,0.017485102789898843,-0.02103656493127386,0.0023973968405090586,0.007127006952336106,True,1.9966499679835437e-05,23
0.0175,0.16,-0.020785837123500548,0.009690140743410038,-0.010769647710428638,0.0012142755149600292,0.007128798255699028,True,1.516067359252915e-05,24
0.005,0.75,-0.020872674512880985,0.009681949041679409,-0.010988727450264782,0.0012427789761021491,0.007133317836072378,True,1.531795472820008e-05,18
0.01,0.3,-0.020650306312408877,0.009616979479492851,-0.010734134635125295,0.0012110491242355139,0.007134312321888301,True,1.6665531155535263e-05,22
0.065,0.08,-0.03943344718006737,0.018143713614051465,-0.021397645291826698,0.0024325150150358555,0.007140319581524904,True,1.5973413578507234e-05,27
0.0075,0.4,-0.01965267882207516,0.00915238632927537,-0.010213961353657059,0.0011523382065961635,0.007166171905328147,True,1.541559868645237e-05,21
0.02,0.3,-0.040106110622549346,0.018367154622223988,-0.022109144344615254,0.002519807048636025,0.007180905844017244,True,1.6084812435313012e-05,24
0.03,0.08,-0.018698001936926296,0.00873467203689682,-0.009623217432080899,0.001083572896308723,0.007195883609241131,True,1.900083367134542e-05,24
0.02,0.12,-0.018279782254175144,0.008539307844363915,-0.009407282544553038,0.0010592493559129711,0.00721142707302602,True,1.5764317982114306e-05,24
0.0125,0.2,-0.01821014559776472,0.008502463578159506,-0.009386031007110386,0.0010571946133607429,0.007214616393209359,True,1.5605973804344586e-05,23
0.015,0.16,-0.01787986556176096,0.008352493022834858,-0.00920085091150802,0.001035996914814964,0.007226780318445083,True,1.7986833275696057e-05,23
0.01,0.75,-0.04022989218933194,0.01825618213281134,-0.02287344406905306,0.002618798527953594,0.007228998323939603,True,1.9143389862197324e-05,19
0.01,0.25,-0.017735583793281242,0.008280891026885416,-0.009140738877066415,0.0010295565098656278,0.0072329699257798865,True,1.7417138709063806e-05,22
0.03,0.2,-0.04223718205003567,0.019342953462130264,-0.023297248520357538,0.002655423182211014,0.007253839931298197,True,1.868192100129562e-05,25
0.025,0.25,-0.0427443331012374,0.019546011585044105,-0.023699094101387142,0.0027033802565311037,0.007280964329876212,True,1.5146923261877276e-05,25
0.0175,0.12,-0.016036651627121378,0.0075027597284180745,-0.008211833302934138,0.0009237130895484891,0.007302374164324787,True,1.891642266116378e-05,23
0.005,0.5,-0.015691070945993958,0.007326303206334126,-0.008084643781670129,0.0009105701482230038,0.007319745437363254,True,1.8291697600592016e-05,19
0.025,0.08,-0.015636014831884155,0.007318963784719247,-0.007994098811450585,0.0008989270130874297,0.007320066318786922,True,1.5918250275248624e-05,24
0.0075,0.3,-0.015590399573952234,0.007288509687161043,-0.008001139739556918,0.0009004382917872379,0.007323221783310924,True,1.787299604982806e-05,21
0.05,0.12,-0.044112414392574524,0.02020158979223236,-0.024344076693575377,0.002774932346360912,0.007329592088612223,True,1.9883264251063792e-05,27
0.0125,0.16,-0.01495157281847773,0.006998594750545967,-0.007643265094431993,0.0008594644132217279,0.00735213490242957,True,1.5063317654995245e-05,23
0.0175,0.4,-0.04407254387346227,0.02006165495001648,-0.024825204827929874,0.0028384937215527395,0.007361514751236894,True,1.6546537792594407e-05,23
0.01,0.2,-0.014631343338808955,0.006848703267511912,-0.0074791752740249896,0.0008410078338809634,0.007367619636184654,True,1.744369148459768e-05,22
0.015,0.12,-0.013780934981718848,0.006457018988685841,-0.007022539969392625,0.0007891446983916297,0.0074095303801143125,True,1.627694205730279e-05,23
0.015,0.5,-0.044819679799414716,0.020338430824227666,-0.025520249448137945,0.002922416565421958,0.0074141343990247015,True,1.6240617787710576e-05,22
0.04,0.16,-0.04583222978273092,0.020938875362099613,-0.02551113123394273,0.002911779144179715,0.007422577076908267,True,1.753653964242652e-05,26
0.0075,0.25,-0.013373368712872594,0.006263746502116647,-0.006821976818359798,0.0007667840931813924,0.007430987068147172,True,1.8465530351896575e-05,21
0.005,0.4,-0.013216118591817701,0.006186267645270119,-0.006754362876983562,0.0007594863273351597,0.007439719953848233,True,1.5042593960234996e-05,20
0.0025,1.0,-0.012751148768945404,0.005953633987149169,-0.006567609854480977,0.0007396720331896194,0.0074664176816967775,True,1.707789787896985e-05,15
0.02,0.08,-0.012551233444251535,0.005886605099868304,-0.006376000486766136,0.000716019907520696,0.007474433938868479,True,1.7348425864316397e-05,23
0.01,0.16,-0.012001632033685627,0.005628844356180105,-0.00609619612577861,0.0006845905397387204,0.0075051915211109994,True,1.6682143936463945e-05,22
0.08,0.08,-0.047910624386181704,0.0218882043210874,-0.02668419688495033,0.003045917083948045,0.007531344538188,True,1.938448458305153e-05,27
0.0125,0.12,-0.011512931946920303,0.005402263240002832,-0.005839104924116211,0.0006555064045395349,0.007533040265772735,True,1.8602808590895137e-05,22
0.0075,0.2,-0.011019565816181659,0.005170763499287005,-0.005588395389318572,0.0006273553772029273,0.007562147747096543,True,1.8281169843703537e-05,21
0.0175,0.08,-0.011000538265517635,0.005164324467604976,-0.005570864003935361,0.0006251902898352581,0.007563048766298834,True,1.5220971033347297e-05,23
0.0025,0.75,-0.010607288160630555,0.004968194843251912,-0.005409108445909194,0.0006079531858119019,0.0075879558289381685,True,1.9098376118797944e-05,16
0.005,0.3,-0.010459311673655726,0.004907876875471136,-0.0053038053094941855,0.0005954012915925454,0.007596081638683899,True,1.704263390411853e-05,20
0.015,0.08,-0.009444435392561143,0.004438052466407732,-0.004768218870508497,0.0005347615827575468,0.007659342746144767,True,1.7726444549559517e-05,22
0.025,0.3,-0.049321195874274866,0.022380510455146295,-0.028124473045357427,0.0032212714950443123,0.007659644470668979,True,1.984475493976845e-05,24
0.01,1.0,-0.047373896517521503,0.021150253977840133,-0.028545537870033666,0.0032919422015268763,0.007661306145601014,True,1.4418531715687521e-05,18
0.01,0.12,-0.009232968944508185,0.004338684242471982,-0.004661246070547997,0.0005227619776536043,0.007673044397020379,True,1.4940948374508878e-05,22
0.0075,0.16,-0.009030762813291689,0.004243667173402452,-0.004558978314109562,0.0005112903849714748,0.007686270846236126,True,1.732137821131019e-05,21
0.005,0.25,-0.008961668870343397,0.0042101962418202195,-0.004527170872937155,0.0005078020749496515,0.007690906729313421,True,1.7404775296991915e-05,20
0.02,0.4,-0.04981493440481991,0.02253315456989713,-0.028720799685879782,0.0032944834579311556,0.007713710205879016,True,1.8772985039827716e-05,23
0.03,0.25,-0.050591538019062535,0.022956769069319427,-0.02886093575532995,0.0033058083799416124,0.007740405961378926,True,1.7968698717396592e-05,25
0.0125,0.75,-0.04927018863629391,0.022088451148058273,-0.029288310222974255,0.0033724185354318146,0.007747182446173836,True,1.5159689670252163e-05,20
0.0025,0.5,-0.007927605625784387,0.003724398336140707,-0.0040042013338833626,0.00044913440651060975,0.007760654776127552,True,1.3709616162316252e-05,18
0.0125,0.08,-0.007883029172683093,0.003707850281129281,-0.003967981877064738,0.0004447229747382232,0.007763358444093205,True,1.9990327610130976e-05,22
0.005,0.2,-0.007376151084225632,0.003469440961717483,-0.0037124187977634593,0.00041607510352960694,0.007798794590322292,True,1.703183678358755e-05,20
0.0075,0.12,-0.0069413591149330945,0.0032664690386390886,-0.0034886769086718314,0.0003908745100958086,0.007829681186338124,True,1.536935597590272e-05,21
0.0025,0.4,-0.006662192678132379,0.003133628793691983,-0.0033526631225860855,0.00037574992496446476,0.00785000674422004,True,1.5963443519506626e-05,18
0.0175,0.5,-0.05156602510100546,0.023212398064003364,-0.030248925645904274,0.0034774858432300142,0.007869670178502777,True,1.880643526375181e-05,22
0.01,0.08,-0.006316416877716704,0.002973776057076881,-0.0031700668077747816,0.0003550632831549464,0.007875138176779237,True,1.6101085850372954e-05,21
0.005,0.16,-0.006039696992926572,0.002843499045458261,-0.0030309589266434523,0.0003394799113193394,0.007895684564567256,True,1.5987751767809755e-05,20
0.0025,0.3,-0.005261060587969723,0.0024774977814100373,-0.002638038039097734,0.00029542041523087053,0.00795468016257685,True,1.7293026379761045e-05,18
0.0075,0.08,-0.0047447031785175136,0.002235891679278198,-0.0023743918359732338,0.0002657717856454109,0.00799472301702274,True,1.6408199737583118e-05,20
0.005,0.12,-0.004638431641653298,0.002185813575854723,-0.0023211219787745646,0.00025980816488292295,0.008003084859578027,True,1.91994561165032e-05,19
0.0025,0.25,-0.004502984343570341,0.0021217427064339402,-0.002253928583719773,0.00025230491721968336,0.008013806903864752,True,1.727171029530794e-05,18
