id,regime,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
16356867x,reinverted,0.1,0.8,1.42,0.12,0.24288214073095318,0.6492019921907712,0.6197752298780187,6.636875721847501e-5,11.801344960672584,1.084736104514566
163568709,reinverted,0.1,0.8,1.42,0.12,-0.2360889151700597,2.090905454082814,1.3893804283943167,0.0004060868025922499,11.788643249577548,1.0848274036993897
163568848,reinverted,0.1,0.8,1.42,0.12,-0.38467832795595885,0.9836087000530215,0.9669230081805962,5.73696039442325e-5,11.821831459315925,1.0845892621157252
163569146,reinverted,0.1,0.8,1.42,0.12,1.74980699382493,0.6066978067176533,0.3367587432392297,0.0009966562429210447,11.735063658229691,1.0852147060402786
163569381,reinverted,0.1,0.8,1.42,0.12,0.6135017025938898,0.8464051935245258,0.8353864963015392,5.624470896848486e-5,11.828663005051936,1.0845404082923749
163569824,reinverted,0.1,0.8,1.42,0.12,0.09840065975108815,2.10063865570145,1.0813669762999478,0.0014449265886944441,11.577244707681718,1.0863763378290243
163569832,reinverted,0.1,0.8,1.42,0.12,0.05171729788431685,2.1595624684368837,1.1229042625807322,0.0013684337836801952,11.454721188786547,1.0873002479518172
163570278,reinverted,0.1,0.8,1.42,0.12,0.7091379361703526,0.512394926419314,0.432639593175369,0.00012261346684599913,11.795075161501263,1.0847811469030708
163570649,reinverted,0.1,0.8,1.42,0.12,-0.36024213185488935,0.8834566202523645,1.0581197445577657,2.1372989633933187e-5,11.827677014193025,1.0845474558360035
163570868,reinverted,0.1,0.8,1.42,0.12,2.2975064072237927,0.4622098531162108,0.211933997529495,0.002538323715740019,11.150324066678053,1.089683492068937
163571449,reinverted,0.1,0.8,1.42,0.12,0.26157824468270635,0.9861064542983436,0.7097505690523499,0.00027222439428488843,11.773664977059513,1.084935319796211
16357173x,reinverted,0.1,0.8,1.42,0.12,0.47390189683928036,1.1203185992495752,0.6870346507637697,0.0006040681807120958,11.666202448317613,1.0857176964337878
163571887,reinverted,0.1,0.8,1.42,0.12,-0.4508347384987136,0.9312073935455908,1.154323557374286,1.7998307060157628e-5,11.829364873491995,1.0845353922796706
163571908,reinverted,0.1,0.8,1.42,0.12,-1.2491924132058259,1.7785422934139534,1.1290644791717184,0.0004966407915403952,11.024483512430187,1.090707197200893
163572492,reinverted,0.1,0.8,1.42,0.12,0.4588990848015981,1.0105207610324785,0.5411396337917372,0.001181138904414932,11.455569131587291,1.0872937859754717
163572572,reinverted,0.1,0.8,1.42,0.12,-0.8920906740521226,1.910880476956004,1.6174681339911887,0.00012092612596070766,11.75253673092462,1.0850880131579326
163572652,reinverted,0.1,0.8,1.42,0.12,0.5033843075544902,0.2503291288588956,0.33445189589918956,1.2373836144817516e-5,11.827852518855622,1.0845462012995029
163572767,reinverted,0.1,0.8,1.42,0.12,-0.10436293320799075,2.194027194752972,1.0556915513489196,0.001159765911389327,4.661726478134877,1.2145128000731809
163573196,reinverted,0.1,0.8,1.42,0.12,-0.3593485809061478,0.6466804899242234,0.8175490788646856,1.6310965827249806e-5,11.826757074086858,1.084554032329882
163573292,reinverted,0.1,0.8,1.42,0.12,-0.28593123068268267,1.9484548364202146,1.3500041192444594,0.00032903155057648504,11.74771445278757,1.0851229406382714
163573794,reinverted,0.1,0.8,1.42,0.12,-0.5626410709354939,1.3766918470547604,1.2160721605300309,9.786579493723548e-5,11.801930483279934,1.0847319005493825
163573903,reinverted,0.1,0.8,1.42,0.12,-0.07006196207125284,0.6239147390569986,0.6575489513563246,4.0496191019389976e-5,11.81477694150819,1.0846397697519583
163574148,reinverted,0.1,0.8,1.42,0.12,0.36024898475608713,1.6635198219354572,1.2067062724387683,0.00026210034379304164,11.80830602697418,1.0846861520793636
163574965,reinverted,0.1,0.8,1.42,0.12,-0.5216526995706209,2.744508506973035,1.457804897203875,0.0012373836144805063,11.625985883444415,1.0860142107538608
163575108,reinverted,0.1,0.8,1.42,0.12,-1.1665536688261424,1.7384324821353108,1.987091243968743,2.6997460679526514e-5,11.828348201174633,1.0845426582809503
163575984,reinverted,0.1,0.8,1.42,0.12,0.14418582685164757,1.103692242480416,0.7024903011273311,0.0005028277050218843,11.742173331351927,1.0851631100803096
163576098,reinverted,0.1,0.8,1.42,0.12,0.4254385042639987,0.7462872543755004,0.6092728583402433,0.0001451113506750217,11.800988711832783,1.084738662532344
16357624x,reinverted,0.1,0.8,1.42,0.12,0.0020664640962716786,2.171315390482758,0.9391233926091024,0.003409554304998948,11.23467188344199,1.0890101651721429
16357640x,reinverted,0.1,0.8,1.42,0.12,-0.03501897109931551,1.4261397861216705,0.9819448754150158,0.00033971804576030573,11.767220212031594,1.0849818378496505
163576776,reinverted,0.1,0.8,1.42,0.12,-1.1240356527357136,2.1813347644876115,1.9666914795111936,8.774174720870595e-5,11.598829972100448,1.086215592642135
163576880,reinverted,0.1,0.8,1.42,0.12,-0.9136928820988103,1.1838181778577015,0.8161727388644121,0.00033409357912659465,11.470835890023661,1.0871776049790507
163576944,reinverted,0.1,0.8,1.42,0.12,-2.5009214410474816,4.016123489128242,1.987091243968743,0.0015135451722351964,8.343490077496602,1.119853920926582
16357720x,reinverted,0.1,0.8,1.42,0.12,-0.03253663658889239,1.1097031381169105,0.9619140179921459,0.00010742739514552633,11.768504827029071,1.084972561484894
163577402,reinverted,0.1,0.8,1.42,0.12,-0.061866694683154796,2.5659773535811405,1.1983543878516723,0.0023420297062019288,11.464325815060088,1.0872271092196588
163577867,reinverted,0.1,0.8,1.42,0.12,-0.6846595356167876,2.0052224145729074,1.4602118265338415,0.0002564758762111351,11.737501150181576,1.0851970097557375
163578050,reinverted,0.1,0.8,1.42,0.12,0.23697502082418018,0.7685953356336092,0.6805707151027882,9.674090044828124e-5,11.818912473674162,1.0846101536184005
163579002,reinverted,0.1,0.8,1.42,0.12,-0.05894675303963633,0.7977692253117961,0.8720523696902235,3.374682573840419e-5,11.823915445307838,1.084574353108795
163580118,reinverted,0.1,0.8,1.42,0.12,-0.6719997675724022,0.761072699434971,0.8851151248838791,2.474767234730786e-5,11.812968047044787,1.0846527304583853
163580986,reinverted,0.1,0.8,1.42,0.12,-0.4674443348836926,1.4746817221688584,1.1760917445812071,0.00016310965822819494,11.798469290655447,1.0847567574542922
163581057,reinverted,0.1,0.8,1.42,0.12,0.7095315474374513,0.5425491128829991,0.6812909226804367,1.6873412690546622e-5,11.831691208834139,1.0845187710150304
163582121,reinverted,0.1,0.8,1.42,0.12,-0.03696231762125695,0.522714651837849,0.764461466215348,7.874259330036343e-6,11.831249897153128,1.0845219236084789
163582594,reinverted,0.1,0.8,1.42,0.12,-0.49747363698674857,1.3791692885444002,1.4232785953080458,4.4995767600208844e-5,11.822100195610865,1.0845873392589978
163584856,reinverted,0.1,0.8,1.42,0.12,0.16606327549309027,1.426658590913431,1.3360924391263382,7.311812165903041e-5,11.82726190656752,1.0845504232424847
163585330,reinverted,0.1,0.8,1.42,0.12,-0.7133309583158414,1.6363033332866332,1.4261156220281481,0.00010461516010532937,11.788396956779076,1.0848291759826545
163587264,reinverted,0.1,0.8,1.42,0.12,-0.9506906798739896,0.39759528722000403,0.6503231309150908,4.499576807967781e-6,11.827559438505068,1.0845482963073905
163587483,reinverted,0.1,0.8,1.42,0.12,-0.3021386947554061,1.4581785669282012,0.9730662845480749,0.00039540030953649834,11.627141913024742,1.0860056587835913
16358790x,reinverted,0.1,0.8,1.42,0.12,-0.3935013681552464,1.798810093796032,1.2174004441640367,0.0003700901898011075,11.753715936801628,1.0850794765993057
163588160,reinverted,0.1,0.8,1.42,0.12,0.9127572175783951,0.1215483736860495,0.21058081743730112,3.374682584063301e-6,11.825440503041191,1.0845634460503037
163588187,reinverted,0.1,0.8,1.42,0.12,-1.5603892107872526,3.0916746333546437,1.987091243968743,0.0004702057764392859,11.21645387810416,1.0891547373945092
163589614,reinverted,0.1,0.8,1.42,0.12,-0.23238612379538326,0.8254098342044396,0.7853425952750127,6.749365169898379e-5,11.799602874460131,1.0847486149016479
163591415,reinverted,0.1,0.8,1.42,0.12,-1.1390196310914513,1.9970992715014666,1.987091243968743,5.399492135921286e-5,11.815843651151093,1.0846321286506344
163592047,reinverted,0.1,0.8,1.42,0.12,-1.220006232364979,1.0575731306385039,1.987091243968743,2.249788382518283e-6,11.832252209533289,1.0845147637399324
163592661,reinverted,0.1,0.8,1.42,0.12,-0.13954853396707106,1.102091341438754,0.8730433373256045,0.0001687341292019429,11.805412970638265,1.0847069054244134
163593461,reinverted,0.1,0.8,1.42,0.12,-0.4893613340707442,0.6263445678127091,0.8918717223978387,8.99915355986872e-6,11.830041821023991,1.0845305549320063
163594309,reinverted,0.1,0.8,1.42,0.12,-0.22082662849408777,0.7893431370286109,0.8028573687896683,4.8370450371273864e-5,11.815790529307325,1.0846325091427143
163595344,reinverted,0.1,0.8,1.42,0.12,0.012958225691639942,1.0767937173427573,0.919652483996726,0.0001158641015705321,11.813151012481908,1.0846514193328596
163598908,reinverted,0.1,0.8,1.42,0.12,0.22167535300572472,0.17217722862017887,0.37161321766576616,1.124894194680602e-6,11.83296526099137,1.0845096709019004
163604239,reinverted,0.1,0.8,1.42,0.12,-1.0378115224278432,2.3036289843486006,1.987091243968743,0.00011023963110804583,11.810297500905449,1.0846718721457553
163604423,reinverted,0.1,0.8,1.42,0.12,-0.5675088237992947,0.9722451520055307,0.8775789226906008,8.774174741315072e-5,11.768229745755487,1.0849745477105999
163607085,reinverted,0.1,0.8,1.42,0.12,-0.6470753689760794,1.3907935422323212,1.2690088705189204,8.324217042878213e-5,11.809547075055258,1.0846772525351334
163608096,reinverted,0.1,0.8,1.42,0.12,0.4007629929057863,0.6224388677172926,0.4669277396277481,0.00022104170931418722,11.732409123575314,1.0852339864274407
163608723,reinverted,0.1,0.8,1.42,0.12,-0.8195472327307975,1.2863627524074017,1.615278805021756,1.6873412868895125e-5,11.828369097802828,1.0845425089233776
