lmp_mode,label,moment,beta,se,t,n_clusters,df
monopsony,monopsony markdown,labor_bigMA,-0.364105009,0.043616548,-8.347863973,795,794
monopsony,monopsony markdown,labor_bigMA_wdiff,0.245018606,0.060195338,4.07039176,795,794
monopsony,monopsony markdown,wage_bigMA,0.074105499,0.008867464,8.357011598,795,794
perfectly_elastic,perfectly elastic / no markdown,labor_bigMA,-0.383870762,0.045165204,-8.499258901,795,794
perfectly_elastic,perfectly elastic / no markdown,labor_bigMA_wdiff,0.250118273,0.061719419,4.052505323,795,794
perfectly_elastic,perfectly elastic / no markdown,wage_bigMA,0.077795331,0.009147945,8.504131804,795,794
