id,eta_seed,alpha,theta,sigma,amenity,productivity,wage_data,employment_data,employment_inverted,markdown_inverted
750428137,0.1,0.8,5.0,0.25,0.887282886664795,0.2020963606397326,0.27499378482600223,1.124894189640287e-5,1.1248941893436968e-5,1.0505359040355424
750428145,0.1,0.8,5.0,0.25,-0.7683141314607721,2.160359860150152,1.762343194914657,0.00014454890336877688,0.00014454890338704365,1.0515508369704063
750428313,0.1,0.8,5.0,0.25,0.11159065523605267,0.6438112164768927,0.5919455972481608,7.930504036964023e-5,7.93050403736294e-5,1.0519962845145654
750428727,0.1,0.8,5.0,0.25,1.3777116023476088,0.17345750338620536,0.19821034872723498,2.6997460551366886e-5,2.699746054583657e-5,1.0500253949782103
75042905x,0.1,0.8,5.0,0.25,-0.04116360193760361,0.6028227930024527,0.7848471474946322,1.4061177370503587e-5,1.4061177367976444e-5,1.0500207064451756
750429906,0.1,0.8,5.0,0.25,0.9118793736050229,0.12056023332431447,0.26012925256407526,1.124894189640287e-6,1.1248941893995006e-6,1.0500021108715558
750429957,0.1,0.8,5.0,0.25,0.34148570096532155,0.6553497800349611,0.588542419750301,8.999153517122296e-5,8.999153514690938e-5,1.0501532373542422
75043043x,0.1,0.8,5.0,0.25,-0.27033817074924354,0.5807115130813514,0.7618070967947917,1.3498730275683443e-5,1.349873027357886e-5,1.0506412753807515
750430755,0.1,0.8,5.0,0.25,0.2826296044344897,0.7124476381417462,0.6148858140365859,0.00010911473639510784,0.00010911473636613004,1.051427704008291
750431045,0.1,0.8,5.0,0.25,-0.21563252122773044,1.0648467761469969,0.8388549191037984,0.00016873412844604306,0.0001687341284203296,1.0557407825688028
750431360,0.1,0.8,5.0,0.25,-0.5166179720156874,0.6938806782805802,1.085110624761981,5.624470948201435e-6,5.6244709471352295e-6,1.0500066825051355
750431678,0.1,0.8,5.0,0.25,-0.019648815571417455,1.7960988857089926,1.1030313966176855,0.0006018183914575535,0.000601818391335138,1.050139267228165
750431723,0.1,0.8,5.0,0.25,-0.03883600841868913,0.5945195332854749,0.7803877576922257,1.3498730275683443e-5,1.349873027210387e-5,1.050013098133661
750432398,0.1,0.8,5.0,0.25,0.44691658788772165,0.9067304883791751,0.665187645952216,0.00024747672172086314,0.00024747672167202276,1.0500858186239748
750432822,0.1,0.8,5.0,0.25,-0.26857665434236483,0.858322870231897,1.044764044788136,1.968564831870502e-5,1.9685648315004568e-5,1.0500262158187577
750433163,0.1,0.8,5.0,0.25,-0.18342833379084214,0.9877315625391873,0.9560594349481116,6.186918043021579e-5,6.186918041594427e-5,1.0501631803901612
