eta,alpha,theta,sigma,n_firms,counterfactual_converged,counterfactual_iterations,counterfactual_gap,mean,sd,p05,p25,median,p75,p95,min,max
0.1,0.8,5,0.25,5482,true,547,9.898894521853663e-7,0.9999866180883606,0.0001351052732293376,0.9999290643807839,0.9999952301693201,0.9999997783741512,1.000000836838242,1.000019338706535,0.9965476964122719,1.0048152459122492
0.9,0.8,5,0.25,5482,true,1676,9.944013469320723e-7,0.9999323826837807,0.007212464984116905,0.9984123124615937,0.9999211637332072,0.9999967575368793,1.000029070726782,1.0008770992330418,0.9277553932922593,1.4853549687612002
3.0,0.8,5,0.25,5482,true,2015,9.959283348015546e-7,0.9999929921110959,0.010236368815841336,0.9974123103896677,0.9998731832731098,0.9999928911663838,1.0000087306960599,1.0016739069870888,0.8724175650026396,1.46768815152439
