model_mode,baseline_mode,employer_group,eta,theta,sigma,alpha,rho,kappa,n_wage_groups,n_employer_groups,n,n_control,n_treated,amenity_converged,amenity_iterations,amenity_gap,group_mass_gap,total_mass_gap,ge_converged,ge_iterations,ge_gap,beta_labor_wdiff_post,beta_labor_wdiff_post_se,beta_labor_bigMA,beta_labor_bigMA_se,beta_labor_bigMA_wdiff,beta_labor_bigMA_wdiff_se,treated_wdiff_slope
static_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.0,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,,,,-0.4053780011330301,0.24140167646357646,-1.9218301658664545,0.14680336202148314,0.840769206256054,0.29476251862687713,0.4353912051230239
full_ge_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.0,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,true,239,9.6441819512183e-5,-0.04065397022585721,0.01590906393733108,-0.056243815867389274,0.009674763269373257,0.0971261731057258,0.019425696721999706,0.05647220287986859
static_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,,,,1.198042986479662,0.2419909120697204,-1.8246292543730906,0.14716169328608705,0.6733809625157023,0.29548200232672556,1.8714239489953644
full_ge_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,true,112,9.739943628250813e-5,0.32499327968643726,0.01670387564778125,-0.061465837625324656,0.010158111326343922,0.07884547467070423,0.02039619827376411,0.4038387543571415
