model_mode,baseline_mode,employer_group,eta,theta,sigma,alpha,rho,kappa,n_wage_groups,n_employer_groups,n,n_control,n_treated,amenity_converged,amenity_iterations,amenity_gap,group_mass_gap,total_mass_gap,ge_converged,ge_iterations,ge_gap,beta_labor_wdiff_post,beta_labor_wdiff_post_se,beta_labor_bigMA,beta_labor_bigMA_se,beta_labor_bigMA_wdiff,beta_labor_bigMA_wdiff_se,treated_wdiff_slope
static_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,,,,1.198042986479662,0.2419909120697204,-1.8246292543730906,0.14716169328608705,0.6733809625157023,0.29548200232672556,1.8714239489953644
full_ge_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,false,80,33.060995012036564,0.3264773872263433,0.051108487353969535,-0.10388434017500195,0.031080553711594655,0.19044195871714173,0.06240580710274811,0.516919345943485
