mode,eta,theta,sigma,alpha,amenity_converged,amenity_iter,base_converged,base_iter,cf_converged,cf_iter,loc_name,sample_label,n_firms,n_loc_groups,n_big,mean_dlnemp,beta_BIG,se_BIG,t_BIG,beta_wdiff_loc,se_wdiff_loc,t_wdiff_loc,beta_BIG_x_wdiff_loc,se_BIG_x_wdiff_loc,t_BIG_x_wdiff_loc,coefnames
no_nested_monopsony_markdown,3.0,5.0,1.0,0.8,true,2324,true,1,true,2501,same_lonlat,full_model_sample,2908,727,1820,-0.29588334629578356,0.0,NaN,NaN,9.040522351826143e-5,4.7397043107542825e-5,1.9074021835736465,3.954658286005857e-5,0.00023557358257066146,0.16787358934101354,BIG;wdiff_loc;BIG_wdiff_loc
no_nested_monopsony_markdown,3.0,5.0,1.0,0.8,true,2324,true,1,true,2501,same_lonlat,matched_regression_sample,1553,416,929,-0.2806190557708413,0.0,NaN,NaN,8.206860514705516e-5,7.277352583983851e-5,1.127726109185275,0.00022478901015678444,0.00043395140052522385,0.5180050343995107,BIG;wdiff_loc;BIG_wdiff_loc
no_nested_monopsony_markdown,3.0,5.0,1.0,0.8,true,2324,true,1,true,2501,same_firm_town,full_model_sample,5480,130,3614,-0.3906996985427147,0.06516793133684598,0.0689489873489345,0.9451615439549027,-0.02506042892760813,0.015377752129624958,-1.6296548882023967,0.038826768206003566,0.021244263781061003,1.8276353845981308,BIG;wdiff_loc;BIG_wdiff_loc
no_nested_monopsony_markdown,3.0,5.0,1.0,0.8,true,2324,true,1,true,2501,same_firm_town,matched_regression_sample,3442,120,2242,-0.34880662570006615,0.07953365895918829,0.07773542675655884,1.0231327243916846,-0.02399358394025498,0.01650264642668211,-1.453923408397167,0.049521937736433916,0.0245448162571954,2.0176128929837223,BIG;wdiff_loc;BIG_wdiff_loc
