regime,eta,alpha,theta,sigma,n_firms,fundamentals_eta,amenity_converged,amenity_iterations,amenity_gap,baseline_converged,baseline_iterations,baseline_log_gap,wage_foc_log_gap,canonical_labor_max_abs_gap,canonical_elasticity_max_abs_gap,employment_max_abs_gap_vs_data,wage_max_abs_log_gap_vs_data,mean,sd,p05,p25,median,p75,p95,p995,min,max
reinverted,0.1,0.8,1.42,0.12,5482,0.1,true,177,9.606297354802784e-11,true,1,1.5543122344752192e-15,1.332267629550187e-15,1.1275702593849246e-17,3.019806626980426e-14,9.606297701747479e-11,7.613102373638387e-10,1.0862948088903244,0.013408316195824103,1.0845144857941134,1.0845441300287164,1.0846328428464416,1.0849553757957917,1.0888001270817633,1.1523618187238422,1.0845072083044995,1.4341885069709455
reinverted,0.9,0.8,1.42,0.12,5482,0.9,true,875,9.761787298639968e-11,true,1,6.306066779870889e-14,6.283862319378583e-14,1.9081958235744878e-17,4.973799150320701e-14,9.761786691486751e-11,2.025379863825724e-12,1.0994140406283357,0.057342496308229324,1.0845720712837048,1.0850442991521438,1.0866971670927237,1.0929581083644444,1.1451814087761476,1.4726964766308699,1.0845076337519732,3.1184123189571267
reinverted,3.0,0.8,1.42,0.12,5482,3.0,true,3943,9.951462397184141e-11,true,1,2.195466031196247e-14,2.264854970235345e-14,5.0306980803327406e-17,1.4299672557172016e-13,9.951460749196839e-11,9.722223026595235e-12,1.1097041560380383,0.0833127839245255,1.0846275836674808,1.0853289704660243,1.087677411306451,1.0967659551835114,1.1879975651866053,1.7120675208009168,1.084508856324203,2.3412458226084043
fixed_eta01,0.1,0.8,1.42,0.12,5482,0.1,true,177,9.606297354802784e-11,true,1,1.5543122344752192e-15,1.332267629550187e-15,1.1275702593849246e-17,3.019806626980426e-14,9.606297701747479e-11,7.613102373638387e-10,1.0862948088903244,0.013408316195824103,1.0845144857941134,1.0845441300287164,1.0846328428464416,1.0849553757957917,1.0888001270817633,1.1523618187238422,1.0845072083044995,1.4341885069709455
fixed_eta01,0.9,0.8,1.42,0.12,5482,0.1,true,177,9.606297354802784e-11,true,2192,9.921585775174435e-11,9.927259014337517e-11,4.9439619065339e-17,1.0480505352461478e-13,0.02405642210636903,3.118408858395909,1.1420841446464656,0.3878395073728628,1.0845224593843923,1.0847017931592515,1.0860532980381672,1.0968122473262345,1.3365879457684804,2.309121789206978,1.0845071586420583,19.9846427431185
fixed_eta01,3.0,0.8,1.42,0.12,5482,0.1,true,177,9.606297354802784e-11,true,2895,9.950579249462521e-11,9.95253879359625e-11,2.237793284010081e-16,1.6964207816272392e-13,0.02761546838182264,12.373772274258217,100.10463970753243,4893.767932611019,1.0845071362007095,1.0845097609861256,1.08466314041334,1.0913275898229378,1.703654802323235,3.116815145686287,1.0845070424149086,295721.2201530818
