id,z_j,a_j,epsilon_j,l_j_target,l_j_model
163560221,0.7457404477291806,-0.29475519835092473,4.998025789325142,4.555821468043162e-5,4.555821327062131e-5
163560395,0.6522282158085058,0.4214576862313898,4.9363932948368605,0.00010574005382618697,0.00010574005079781192
163560635,0.22784979510691397,-0.668931912906259,4.9997110539006755,4.499576758561148e-6,4.499576620018749e-6
163560758,0.5779392395423703,0.7337447898661077,4.9764365192926965,0.00023735267401410055,0.00023735266660806736
163560993,0.3287159521953996,1.2351277735613844,4.988165051794832,0.0001799830703424459,0.0001799830648258184
163561136,0.24677883125263342,1.2335542627850429,4.991181307604987,0.00012711304342935241,0.00012711303950294019
163561937,0.37922148362408775,1.0411174190514496,4.986197777116625,0.00023510288563481998,0.00023510287836404456
163562163,0.8223912190447535,-0.010895973942807944,4.993291274318644,0.00013498730275683443,0.00013498729855726115
163562198,0.3143287344747563,-0.7777592096794288,4.999538383704647,6.749365137841721e-6,6.749364931024467e-6
163562358,1.7063615296574868,-0.6993760031788554,4.654872860348098,0.00035659145811597095,0.00035659144684895504
163562569,1.6783554280749426,0.9090723559283853,4.975613469248209,0.0008492951131784166,0.0008492950908344985
16356285x,3.5489084543877825,-0.5836604039726225,4.990624589927098,0.0003768395535294961,0.00037683954188927663
163563019,0.7562469175013808,-1.1017868066858743,4.999196861477611,1.5186071560143873e-5,1.5186071089408589e-5
163563166,0.19732885769917266,1.517967544284128,4.998947212126395,7.030588685251794e-5,7.03058848345892e-5
16356365x,0.6816401858715245,-0.3518171642209943,4.996591159277705,5.680715657683449e-5,5.6807154813851897e-5
16356445x,1.5594192267707923,0.8610964987260473,4.940162488027811,0.0004409585223389925,0.0004409585117726265
163565030,1.2890471357253641,0.07708059816017249,4.997768306923751,0.00012598814923971214,0.00012598814604260474
163565778,7.829955339620385,0.3724526467621311,4.546293418179402,0.005443362983669348,0.005443362819529712
163566711,0.9123103192857079,1.0117794110158678,4.994647895809655,0.00027841131193597103,0.0002784113062582147
163566834,0.06626057790011139,-0.31619432287755544,4.9998717547037295,1.124894189640287e-6,1.1248941549428116e-6
163567247,0.8045034773715762,-0.3298383165960113,4.997393911185592,6.636875718877693e-5,6.636875513707205e-5
163567343,8.48794366072678,0.2208703565596759,4.942675712267347,0.003144641707139422,0.0031446416406236883
163567490,0.5209385302976658,2.0779965497014414,4.969185885695555,0.0009359119657807187,0.0009359119383627133
163567685,0.28107406205574453,0.08293455510186346,4.996429730999341,2.4747672172086314e-5,2.4747671420175858e-5
16356787x,1.0469718732956634,0.2925123966643465,4.86488596856221,0.00042858468625294935,0.00042858467243664594
163567984,3.656058540046415,-0.9385224564939293,4.940763585320475,0.00042914713334776946,0.0004291471189931967
16356867x,0.5652344705696868,-0.09266082633991515,4.966264590990177,6.636875718877693e-5,6.636875516922884e-5
163568709,2.6123296676522396,0.20921838238335036,4.997120053948632,0.0004060868024601436,0.00040608679343398046
163568848,0.8310138734371907,0.09044127981996641,4.9981977813420695,5.7369603671654635e-5,5.736960218559755e-5
163569146,0.9079945451926493,1.236962323857762,4.956916675986551,0.0009966562520212943,0.0009966562212255423
163569381,0.7122996446786946,-0.13024357477457513,4.998269111644904,5.624470948201435e-5,5.624470776414256e-5
163569824,3.4029579593948633,0.6952901095226822,4.7857998811143005,0.0014449265865929485,0.0014449265433763763
163569832,3.4759616142496097,0.5973029440845968,4.6432980355576134,0.0013684337816974091,0.001368433782055024
163570278,0.5039232194884087,0.91821431278391,4.9927359364059205,0.00012261346667079127,0.0001226134635565633
163570649,0.6127503886817514,-0.7696768299886203,4.994125985252163,2.1372989603165453e-5,2.1372988926906586e-5
163570868,1.0037429684442638,1.73647629093837,2.210751134640271,0.0025383237389233074,0.0025383236427306754
163571449,1.1373867627076004,0.37114812629033445,4.992132131784086,0.00027222439389294945,0.0002722243856467025
16357173x,1.5222211849513854,0.9250438017244604,4.8425426636378335,0.0006040681798368341,0.0006040681799945889
163571887,0.6239600418983725,-0.6829242096868878,4.998686688494151,1.7998307034244593e-5,1.7998306477011388e-5
163571908,2.3022794306693433,-0.2399870502802585,4.979026417172774,0.0004966407847261867,0.0004966407693183756
163572492,1.5933295700072794,0.3221519134711824,4.422065458451971,0.0011811388991223013,0.001181138861375531
163572572,1.875230744561196,-0.9329038418112363,4.966129766319213,0.00012092612538633085,0.00012092612170166544
163572652,0.155620825316178,0.3582724526454517,4.9989800601862004,1.2373836086043157e-5,1.2373835709746675e-5
163572767,3.1042058816164007,-1.8387533879788187,4.283181976250216,0.0011597659095191359,0.001159765859032452
163573196,0.424862743295023,-0.37097043565463333,4.9982456878062,1.631096574978416e-5,1.6310965254579135e-5
163573292,2.3352928199337346,-0.49988018251107025,4.972939625847812,0.00032903155046978393,0.00032903154037259755
163573794,1.29426176313945,-0.3896730304070669,4.993592751686311,9.786579449870497e-5,9.786579146605524e-5
163573903,0.49164297714061556,-0.06280168351762076,4.997339047684853,4.049619082705033e-5,4.0496189586052735e-5
163574148,1.9048444317133328,-0.3002053901945675,4.989426522258836,0.00026210034618618684,0.00026210033816679104
163574965,4.281022510688876,0.3903579968235086,4.991115844722055,0.0012373836086043157,0.001237383580717038
163575108,1.2631908929401043,-0.7588153509485489,4.999691327650424,2.6997460551366886e-5,2.699745985056547e-5
