mode,eta,theta,sigma,alpha,loc_name,sample_label,n_firms,n_loc_groups,total_loc_groups,beta,se,t,mean_y,mean_abs_y,amenity_converged,amenity_iter,base_converged,base_iter,cf_converged,cf_iter
nested_monopsony_markdown,3.0,5.0,0.25,0.8,firm_town,full_model_sample_nonmissing_town,5201,130,131,0.002172431213925623,0.023275690989844784,0.0933347678001679,-0.5577856669601785,0.577785900647042,false,5000,true,1,true,1395
nested_monopsony_markdown,3.0,5.0,0.25,0.8,firm_town,matched_regression_sample,3442,120,128,0.008783283721187937,0.023023450166172386,0.38149294123141164,-0.499327638094412,0.5256819391858827,false,5000,true,1,true,1395
