id,eta,epsilon_j,epsilon_j_prime,markdown,markdown_prime,markdown_hat,dln_markdown
163560221,0.1,39.68794358914665,39.69101013855449,1.0251965687704079,1.0251946220695611,0.9999981011438137,-1.8988579891184013e-6
163560395,0.1,31.29817802086586,31.413873364450872,1.0319507416480704,1.031833069051957,0.9998859707238298,-0.0001140357780023961
163560635,0.1,39.983729881491534,39.983110852006426,1.0250101729619503,1.0250105601763055,1.0000003777663533,3.777662819563031e-7
163560758,0.1,37.99921424396344,37.942765691738764,1.0263163336373162,1.0263554852096015,1.0000381476655902,3.8146937986491664e-5
163560993,0.1,39.48507788535223,39.47546903667408,1.0253260232360075,1.025332187923365,1.0000060124167511,6.01239867662814e-6
163561136,0.1,38.67143481495832,38.73961214651722,1.025858880198911,1.0258133714973163,0.9999556384387043,-4.4362545298886564e-5
163561937,0.1,38.932368040490275,39.05100388446281,1.0256855683414887,1.0256075363122192,0.9999239220754605,-7.60808186115381e-5
163562163,0.1,38.97461468980407,38.95828903318155,1.025657726393421,1.0256684783859034,1.0000104830219727,1.048296702621617e-5
163562198,0.1,39.977905888145,39.976446536329576,1.025013816451465,1.0250147295881145,1.0000008908530156,8.908526187689182e-7
163562358,0.1,32.46606958994893,32.20804544857132,1.0308013878067208,1.0310481429739897,1.000239381873354,0.00023935322608494922
163562569,0.1,35.74031308196559,35.59475656088363,1.0279796094037184,1.028094025542485,1.0001113019535797,0.00011129575997680158
16356285x,0.1,39.55645271932571,39.56962859326557,1.0252803254906484,1.0252719076612762,0.9999917897289522,-8.210304752263629e-6
163563019,0.1,39.874036629490185,39.87127367447628,1.025078975808043,1.0250807137029123,1.0000016953765616,1.6953751244342542e-6
163563166,0.1,39.56222257192659,39.55879243376196,1.0252766385453178,1.0252788302796254,1.0000021377004267,2.1376981417959706e-6
16356365x,0.1,39.66274191093152,39.70100910635523,1.02521257865242,1.0251882766335005,0.999976295629389,-2.3704651564088045e-5
16356445x,0.1,30.602884917326303,30.755273400630898,1.032676657860901,1.0325147491610167,0.9998432145254259,-0.00015679776670144837
163565030,0.1,37.09637752632414,37.07012681440916,1.0269568099820632,1.0269758990846316,1.0000185880286132,1.858785585794588e-5
163565778,0.1,32.17391749867962,32.28144450426327,1.0310810767772074,1.03097754810408,0.9998995921121441,-0.0001004129290653506
163566711,0.1,39.354215277632775,39.33600376009974,1.0254102385969404,1.0254220028577063,1.0000114727358116,1.1472670000260551e-5
