id,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163565778,0.1,0.8,1.42,0.12,0.0,1.0,1.0213855895577888,0.0001932111826322187,11.768689640486935,1.0849712270905485
163566711,0.1,0.8,1.42,0.12,0.0,1.0,0.9492914753106309,0.0002784826516137158,11.755911649702798,1.0850635858619506
163566834,0.1,0.8,1.42,0.12,0.0,1.0,1.1745897607766167,9.618848195827221e-5,11.808487619964442,1.0846848497608885
163567247,0.1,0.8,1.42,0.12,0.0,1.0,0.8969637546369011,0.00036874588300374046,11.67398120183902,1.0856605799435817
163567343,0.1,0.8,1.42,0.12,0.0,1.0,0.9455785323957184,0.00028390944586237485,11.747065586179268,1.085127642530278
163567490,0.1,0.8,1.42,0.12,0.0,1.0,1.2091086937149873,8.325721363282559e-5,11.82204774161991,1.0845877145699105
163567685,0.1,0.8,1.42,0.12,0.0,1.0,1.0102653924942642,0.0002037705844173717,11.723047211645852,1.0853020534632485
16356787x,0.1,0.8,1.42,0.12,0.0,1.0,0.9907456818471392,0.00022408707597759277,11.648558390455358,1.0858475329290003
163567984,0.1,0.8,1.42,0.12,0.0,1.0,1.0880253845094054,0.00014099346689219538,11.797353642879536,1.084764772699983
16356867x,0.1,0.8,1.42,0.12,0.0,1.0,1.0065583678691994,0.00020742396734268765,11.704864153425385,1.0854345669366314
163568709,0.1,0.8,1.42,0.12,0.0,1.0,1.0477640760098905,0.00017029423624644003,11.80593503712486,1.0847031596273744
163568848,0.1,0.8,1.42,0.12,0.0,1.0,0.9358331051327788,0.0002985739539877819,11.704192115615152,1.085439472466096
163569146,0.1,0.8,1.42,0.12,0.0,1.0,1.184382646367717,9.229060997353286e-5,11.812917008697115,1.0846530962050915
163569381,0.1,0.8,1.42,0.12,0.0,1.0,1.1965123881186033,8.771834153377224e-5,11.817011018399933,1.0846237680952424
163569824,0.1,0.8,1.42,0.12,0.0,1.0,1.1790280373472808,9.439341118219664e-5,11.80906023501625,1.0846807434375512
163569832,0.1,0.8,1.42,0.12,0.0,1.0,1.1757535165472737,9.565985462158224e-5,11.791586980251719,1.084806226818729
163570278,0.1,0.8,1.42,0.12,0.0,1.0,1.104742038062587,0.00013060407334803835,11.788113181042608,1.0848312180789186
163570649,0.1,0.8,1.42,0.12,0.0,1.0,1.0885484530168403,0.00014065110560703,11.796508669559199,1.0847708443245154
163570868,0.1,0.8,1.42,0.12,0.0,1.0,1.1821708662284138,9.288630865932686e-5,11.725389483556478,1.0852850134660674
163571449,0.1,0.8,1.42,0.12,0.0,1.0,1.0947193005878535,0.0001367664855854211,11.804270786137854,1.08471510168797
16357173x,0.1,0.8,1.42,0.12,0.0,1.0,1.1757535165472737,9.565985462158224e-5,11.791586980251719,1.084806226818729
163571887,0.1,0.8,1.42,0.12,0.0,1.0,1.0969118043397947,0.00013540442640117847,11.804121140296461,1.084716175657181
163571908,0.1,0.8,1.42,0.12,0.0,1.0,0.860890003781718,0.00045184232025864115,11.614557287043874,1.0860988477895328
163572492,0.1,0.8,1.42,0.12,0.0,1.0,1.0510119092921313,0.0001675733558819371,11.7868657565583,1.0848401959141336
163572572,0.1,0.8,1.42,0.12,0.0,1.0,0.9180782367701408,0.0003282307165118789,11.67234839649697,1.0856725627124113
163572652,0.1,0.8,1.42,0.12,0.0,1.0,0.9243783416343574,0.0003177498860442283,11.72410086411532,1.0852943873129548
163572767,0.1,0.8,1.42,0.12,0.0,1.0,0.960426901954237,0.0002402312297682903,9.555779499976047,1.1046487102389195
163573196,0.1,0.8,1.42,0.12,0.0,1.0,0.9239117898186541,0.0003184241133135819,11.712041187285925,1.085382213399792
163573292,0.1,0.8,1.42,0.12,0.0,1.0,1.0118115719486145,0.00020252784672971665,11.76883259581197,1.084970194949995
163573794,0.1,0.8,1.42,0.12,0.0,1.0,1.0499072893936074,0.00016845327028219172,11.78624449722577,1.0848446678868218
163573903,0.1,0.8,1.42,0.12,0.0,1.0,0.9260091177487489,0.00031491090508560526,11.719280386884773,1.0853294713486943
163574148,0.1,0.8,1.42,0.12,0.0,1.0,1.1840541410684635,9.24208493737001e-5,11.813618744969835,1.0846480677587291
163574965,0.1,0.8,1.42,0.12,0.0,1.0,0.9496093846875167,0.0002782282605900259,11.778755797482782,1.0848986104469291
163575108,0.1,0.8,1.42,0.12,0.0,1.0,0.9429434785498879,0.00028814577914808927,11.772820927550116,1.0849414092131355
163575984,0.1,0.8,1.42,0.12,0.0,1.0,1.066109837873161,0.0001561609862254814,11.810450316234148,1.084670776577032
163576098,0.1,0.8,1.42,0.12,0.0,1.0,1.1334888465414537,0.0001149007223500184,11.798388639689056,1.08475733683124
16357624x,0.1,0.8,1.42,0.12,0.0,1.0,0.9457978397722029,0.00028363750069302116,11.75309394636998,1.0850839791260969
16357640x,0.1,0.8,1.42,0.12,0.0,1.0,1.1000550449376798,0.000133490218221295,11.806217665252296,1.0847011319250168
163576776,0.1,0.8,1.42,0.12,0.0,1.0,0.913989210767768,0.00033188090537930576,11.348134544346653,1.0881202100743663
163576880,0.1,0.8,1.42,0.12,0.0,1.0,0.8983520745289961,0.00036598487104504216,11.6804137976943,1.085613405254307
163576944,0.1,0.8,1.42,0.12,0.0,1.0,0.6125078872419537,0.0024002158576259683,10.743241603319492,1.0930817752149422
16357720x,0.1,0.8,1.42,0.12,0.0,1.0,1.0168175705662743,0.0001970318051343087,11.684203197760048,1.085585639266502
