η,θ,α,β_labor_bigMA,β_labor_bigMA_wdiff,β_wage_bigMA,objective
0.5,25.0,0.6,0.007941720341904681,0.03462143865035409,-0.0028909080156638758,0.03388536875778768
0.5,24.75,0.6,0.00789045484191533,0.034534097779102435,-0.00287106255274798,0.03388699387341779
0.5,24.5,0.6,0.007838455207440252,0.03444483233594021,-0.0028509367154087527,0.033888796832855464
0.5,24.25,0.6,0.007785704939757549,0.03435357961665865,-0.002830524251359824,0.03389078628142361
0.5,24.0,0.6,0.007732168764371234,0.03426029548031917,-0.0028098112016470807,0.03389296155178571
0.5,23.75,0.6,0.00767782870046834,0.03416491399492217,-0.0027887907098496515,0.033895331631079315
0.5,23.5,0.6,0.00762264715252223,0.03406738850699133,-0.002767447866106903,0.03389789580218208
0.5,23.25,0.6,0.007566599774882667,0.03396765500626516,-0.002745773202340987,0.03390066090521342
0.5,23.0,0.6,0.0075097022515836585,0.03386565207134033,-0.00272377323705273,0.0339036455087702
0.5,22.75,0.6,0.007451831674402285,0.03376132027701565,-0.002701398938810671,0.033906825802898444
0.5,22.5,0.6,0.007392997446094544,0.033654600338247354,-0.0026786542474940317,0.03391021822720268
0.5,22.25,0.6,0.007333172633708538,0.033545420618826566,-0.0026555286467187275,0.03391383075424728
0.5,22.0,0.6,0.007272324639307532,0.0334337131143755,-0.002632009304891292,0.033917669030675605
0.5,21.75,0.6,0.007210420040951609,0.033319408058302066,-0.0026080830701132544,0.033921738928574995
0.5,21.5,0.6,0.007147419310599589,0.0332024401003156,-0.0025837343049822806,0.03392604371694059
0.5,21.25,0.6,0.0070832873290087636,0.03308273638984875,-0.0025589492195588334,0.033930589640428645
0.5,21.0,0.6,0.007017993641883028,0.032960215917526785,-0.0025337159923585536,0.03393538614228247
0.5,20.75,0.6,0.006951502260727594,0.03283480148153662,-0.0025080205874962315,0.033940440389117046
0.5,20.5,0.6,0.006883777119275225,0.03270641344398798,-0.0024818490142796395,0.033945760185391215
0.5,20.25,0.6,0.00681477721232091,0.032574976011496365,-0.00245518533865873,0.03395135125160657
0.5,20.0,0.6,0.006744476819634082,0.03244039159081339,-0.0024280200416449405,0.03395722851524991
0.5,20.0,0.6,0.006744476819634082,0.03244039159081339,-0.0024280200416449405,0.03395722851524991
0.5,19.75,0.6,0.006672830640402896,0.03230258534182881,-0.002400335655635754,0.033963396612193796
0.5,19.5,0.6,0.006599808902220463,0.03216146025841685,-0.00237212126471818,0.03396986956223584
0.5,19.25,0.6,0.006525423817810519,0.032016915174714555,-0.0023433829532900066,0.03397667511836415
0.5,19.0,0.6,0.006449549191767503,0.031868868622774535,-0.0023140713236988477,0.033983795577828824
0.5,18.75,0.6,0.006372199924966211,0.03171721311431448,-0.0022841939098077538,0.033991261302233775
0.5,18.5,0.6,0.0062933455594775325,0.03156184539166217,-0.0022537402002524892,0.033999088397259
0.5,18.25,0.6,0.006212957369384345,0.03140265869946258,-0.0022227005750203627,0.03400729448672183
0.5,18.0,0.6,0.0061310086523742,0.0312395426543333,-0.0021910664167946246,0.034015898838116884
0.5,17.75,0.6,0.006047475033317487,0.0310723831181419,-0.0021588302215222463,0.03402492249024361
0.5,17.5,0.6,0.005962334776097393,0.030901062076236472,-0.002125985707124942,0.03403438838162576
0.5,17.25,0.6,0.005875573589355696,0.03072544991599131,-0.002092529792529858,0.03404432438719497
0.5,17.0,0.6,0.005787166880334173,0.03054543571075193,-0.00205845516755797,0.03405475178682382
0.5,16.75,0.6,0.0056971454840964554,0.030360880946279936,-0.002023777059555784,0.03406571446951778
0.5,16.5,0.6,0.005605428695344911,0.030171644477811187,-0.001988466032662054,0.034077223812746554
0.5,16.25,0.6,0.005512046810150858,0.029977594443840207,-0.0019525370539942375,0.034089322893691404
0.5,16.0,0.6,0.005417000137292744,0.029778587645995086,-0.0019159931494282362,0.03410204850620458
0.5,15.75,0.6,0.005320293529346861,0.029574476442929848,-0.0018788391541997647,0.034115440101765135
0.5,15.5,0.6,0.005221936530937084,0.029365108707219558,-0.0018410817501527603,0.03412953985609007
0.5,15.25,0.6,0.005121947506707423,0.029150319293096638,-0.0018027311866365807,0.0341443956950646
0.5,15.0,0.6,0.005020381245599254,0.02892994637314673,-0.0017638121702254065,0.03416006613328583
0.5,15.0,0.6,0.005020381245599254,0.02892994637314673,-0.0017638121702254065,0.03416006613328583
0.5,10.0,0.6,0.0027033874486415677,0.023074091854816736,-0.0008865388461451997,0.034733120718429246
0.5,7.5,0.6,0.0014672363592724551,0.01878626981028076,-0.0004285547125274573,0.035337110002170456
0.5,5.0,0.6,0.0013312250715522844,0.013330521925705652,-0.0004274939191828658,0.036578546248010706
0.5,4.0,0.6,0.002914834063103672,0.01090779946876196,-0.0010666996272533779,0.03762337784998127
0.5,3.0,0.6,0.006787053846101797,0.008449719226847209,-0.002633001198117378,0.03938208153170512
0.5,0.1,0.6,0.002599492950043967,0.00042706459632428124,-0.0010367285813645307,0.040208099772681694
0.5,0.25,0.6,0.005918085885359084,0.0010089461474155246,-0.0023597771471816523,0.04103663008572715
0.5,2.0,0.6,0.012225757971268868,0.00601591943423924,-0.004833260047210647,0.04167323650877836
0.5,0.5,0.6,0.010083715031381928,0.0018637441802493277,-0.004019107762118959,0.042080919983932555
0.5,1.0,0.6,0.01410936636617351,0.003397815798343195,-0.005615035299754705,0.042944835839116104
