id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163562569,0.8,1.42,0.12,0.4,128,-0.9941147032539902,-0.013931148721874268,10.00648629944358,11.78967333584349,-1.7831870363999105,0.7466752499064975,0.2143331538278771,0.6005188012014754,1.1650760556159274,0.0008492951130095798,0.6640309618198871,1.099935179050373
16356285x,0.8,1.42,0.12,0.4,128,-0.90091151697272,-0.0011770205659092764,11.646894592130518,11.797553224566908,-0.15065863243638944,0.09726792129981694,0.07764290012463848,-0.5853271929895899,2.8626673674930174,0.00037683955343159516,1.944369086221344,1.0858597965397294
163563019,0.8,1.42,0.12,0.4,128,-0.9721541017455183,-0.0003840990290703573,11.782053474621726,11.831218150342734,-0.049164675721007356,0.3533612096055923,0.009713378957123804,-1.1012494966106754,1.158809724136641,1.5186071556872156e-5,1.497463591805286,1.0848748481878798
163563166,0.8,1.42,0.12,0.4,128,-0.9943060526585364,-0.0023349830871423976,11.52868998420539,11.827567819359615,-0.29887783515422583,0.5487663382644623,0.048584060913760004,2.1472950501052477,0.22293194824985907,7.030588683867168e-5,0.21167089262930652,1.0867401241051695
16356365x,0.8,1.42,0.12,0.4,128,-0.9864591142851061,-0.0010784450033341703,11.68832690472895,11.82636786515573,-0.13804096042678005,0.3110310991768556,0.031030318770390534,-0.20506798132580925,0.8026880478455645,5.6807156562108804e-5,0.7962089341457704,1.0855554441752833
16356445x,0.8,1.42,0.12,0.4,128,-0.9995401839237277,-0.03017148282632853,7.934462011166559,11.796411812936611,-3.861949801770052,0.9464974497009245,0.3637762885998523,0.2725964645439283,1.2619088931631266,0.00044095852223303023,0.80095921381147,1.1260324894860736
163565030,0.8,1.42,0.12,0.4,128,-0.9943794210315591,-0.010040620177537433,10.515063159213826,11.80026254193862,-1.2851993827247945,0.7267594046787655,0.15866852040171908,-0.9930071795627192,1.3058538266253177,0.00012598814921594226,1.0949317725075305,1.095101663666542
163565778,0.8,1.42,0.12,0.4,128,-0.8048293768321448,-0.014689772317914107,9.128356678916369,11.008647535609374,-1.880290856693005,0.08824289887006169,1.234488752424837,-0.2549284642315758,3.722525378263375,0.00544336298228357,1.4505432836708403,1.10954874301852
163566711,0.8,1.42,0.12,0.4,128,-0.9002728696290566,-0.0016340265454861988,11.575308116772502,11.784463514594734,-0.20915539782223114,0.14168154680827022,0.10197137956519256,0.6118582028928722,0.7823179924433599,0.00027841131187023656,0.5642515213744219,1.0863907889027171
163566834,0.8,1.42,0.12,0.4,128,-0.9907151582049911,-2.5825858680222925e-5,11.829977085457386,11.833282795368456,-0.0033057099110695987,0.6627868742663384,0.00042808677451265425,0.7851772953379305,0.17082152508957515,1.1248941894251127e-6,0.3716132179486789,1.0845310174970078
163567247,0.8,1.42,0.12,0.4,128,-0.9624043436055758,-0.002521186512503883,11.470471901386686,11.793183774987181,-0.322711873600495,0.15630905857121585,0.11283885879733298,-1.2672165851728436,0.9197475421024773,6.636875717637868e-5,0.8830538051375783,1.087180371356745
