η,θ,α,β_labor_bigMA,β_labor_bigMA_wdiff,β_wage_bigMA,objective
0.5,20.0,0.6,0.006744476819634082,0.03244039159081339,-0.0024280200416449405,0.03395722851524991
0.5,15.0,0.6,0.005020381245599254,0.02892994637314673,-0.0017638121702254065,0.03416006613328583
0.5,10.0,0.6,0.0027033874486415677,0.023074091854816736,-0.0008865388461451997,0.034733120718429246
0.5,7.5,0.6,0.0014672363592724551,0.01878626981028076,-0.0004285547125274573,0.035337110002170456
0.5,5.0,0.6,0.0013312250715522844,0.013330521925705652,-0.0004274939191828658,0.036578546248010706
0.5,4.0,0.6,0.002914834063103672,0.01090779946876196,-0.0010666996272533779,0.03762337784998127
0.5,3.0,0.6,0.006787053846101797,0.008449719226847209,-0.002633001198117378,0.03938208153170512
0.5,0.1,0.6,0.002599492950043967,0.00042706459632428124,-0.0010367285813645307,0.040208099772681694
0.5,0.25,0.6,0.005918085885359084,0.0010089461474155246,-0.0023597771471816523,0.04103663008572715
0.5,2.0,0.6,0.012225757971268868,0.00601591943423924,-0.004833260047210647,0.04167323650877836
0.5,0.5,0.6,0.010083715031381928,0.0018637441802493277,-0.004019107762118959,0.042080919983932555
0.5,1.0,0.6,0.01410936636617351,0.003397815798343195,-0.005615035299754705,0.042944835839116104
