eta,theta,beta1,beta2,beta3,beta4,objective,converged,max_gap,max_iter
0.1,0.05,-0.038655674132490984,0.0178062638105007,-0.020892089220581344,0.0023734665349845105,0.007114752630279877,True,1.800054905842785e-05,27
0.13,0.02,-0.020938638416994584,0.009771401446957638,-0.01081458629134915,0.0012185622047424557,0.007122853175134903,True,1.5112909673042907e-05,26
0.065,0.04,-0.020693553726200534,0.009657031788401032,-0.0106875075896517,0.0012042366271005018,0.007130233464876769,True,1.837988938868662e-05,25
0.065,0.08,-0.03943344718006737,0.018143713614051465,-0.021397645291826698,0.0024325150150358555,0.007140319581524904,True,1.5973413578507234e-05,27
0.08,0.065,-0.03977285260151646,0.018299859360875328,-0.02158364676858243,0.0024536875527009644,0.007150006858086588,True,1.7273200408229883e-05,27
0.05,0.05,-0.019799560238066328,0.009244555011090706,-0.010208069681452912,0.0011498231796318844,0.0071580598400831,True,1.6865052682835113e-05,25
0.13,0.04,-0.040351709098183294,0.018566165160183012,-0.021900967564219855,0.002489809423804592,0.0071673422480593016,True,1.96677234360898e-05,27
0.08,0.03,-0.019248499711300632,0.008991826684310537,-0.009907541419260748,0.001115601050888444,0.007176223028085269,True,1.7850061706514708e-05,25
0.025,0.1,-0.01923978196574389,0.008983197717341095,-0.009918461834814828,0.0011171886287944842,0.007177114851566377,True,1.8008450163087275e-05,24
0.035,0.16,-0.04044916659593608,0.0185679097132399,-0.022124847955795005,0.0025184647275160207,0.0071808109138573484,True,1.547590197059634e-05,26
0.035,0.065,-0.017897200730299358,0.008365863971620653,-0.009192019501093872,0.0010345882764029345,0.007225448366940329,True,1.9342203965599936e-05,24
0.1,0.02,-0.01619195665852004,0.007579183830640766,-0.008279192301671215,0.0009309964437147728,0.007295049775758182,True,1.5693518944814855e-05,25
0.05,0.04,-0.016002298568910438,0.007490410608042401,-0.00818191991668392,0.0009200543716604533,0.007303480151698722,True,1.9160128780892904e-05,24
0.065,0.03,-0.015700902919499347,0.007351155677286717,-0.008021422153232288,0.0009018574007846625,0.007316894132697873,True,1.9576154812739333e-05,24
0.025,0.08,-0.015636014831884155,0.007318963784719247,-0.007994098811450585,0.0008989270130874297,0.007320066318786922,True,1.5918250275248624e-05,24
0.05,0.12,-0.044112414392574524,0.02020158979223236,-0.024344076693575377,0.002774932346360912,0.007329592088612223,True,1.9883264251063792e-05,27
