eta,alpha,theta,sigma,n_firms,common_amenity,common_productivity,zero_time_replacement_minutes,baseline_converged,baseline_iterations,baseline_log_gap,wage_foc_log_gap,canonical_labor_max_abs_gap,canonical_elasticity_max_abs_gap,mean,sd,p05,p25,median,p75,p95,p99,p995,min,max
0.1,0.8,1.42,0.12,5482,0.0,1.0,0.01,true,1081,9.88973347659794e-11,9.884604245735645e-11,4.336808689942018e-18,3.907985046680551e-14,1.0882728574482472,0.020170220085619157,1.0845655699006456,1.0846746196279684,1.084776334846151,1.0851332754308909,1.0945787585576943,1.1913336967591464,1.235020450978924,1.0845566287227815,1.477626301943912
0.9,0.8,1.42,0.12,5482,0.0,1.0,0.01,true,1938,9.941369949473255e-11,9.938050382135802e-11,2.0816681711721685e-17,1.3700152123874432e-13,1.1428408200259077,0.41136827891354705,1.0845655072049687,1.0849411895341976,1.0870000947298801,1.0991073543173364,1.2968267991818718,1.9391768303618717,2.381710146766454,1.084530203054848,17.712710360566412
3.0,0.8,1.42,0.12,5482,0.0,1.0,0.01,true,3237,9.993472716018914e-11,9.991940607745737e-11,1.3877787807814457e-17,1.2079226507921703e-13,112.16764606388838,5937.715400853019,1.0845072946940548,1.0845123505708216,1.0847287888040862,1.093587792197035,1.6963744575337274,2.4084484080793755,2.8736929738883825,1.084507049629023,407455.36036133516
