model_mode,baseline_mode,employer_group,eta,theta,sigma,alpha,rho,kappa,n_wage_groups,n_employer_groups,n,n_control,n_treated,amenity_converged,amenity_iterations,amenity_gap,group_mass_gap,total_mass_gap,ge_converged,ge_iterations,ge_gap,beta_labor_wdiff_post,beta_labor_wdiff_post_se,beta_labor_bigMA,beta_labor_bigMA_se,beta_labor_bigMA_wdiff,beta_labor_bigMA_wdiff_se,treated_wdiff_slope
static_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.0,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,,,,-0.4053780011330301,0.24140167646357646,-1.9218301658664545,0.14680336202148314,0.840769206256054,0.29476251862687713,0.4353912051230239
full_ge_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.0,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,false,120,0.11036558125685492,-0.04125364038350424,0.015607790627669735,-0.04496140031087305,0.009491550230451807,0.10021764503924063,0.01905782819328122,0.05896400465573639
static_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,,,,1.198042986479662,0.2419909120697204,-1.8246292543730906,0.14716169328608705,0.6733809625157023,0.29548200232672556,1.8714239489953644
full_ge_group_transition,fast_inverted_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,true,779,9.885527829166935e-6,1.0408340855860843e-17,1.1102230246251565e-16,false,120,6.23758126427898e-5,0.32499321004735876,0.01670389167827452,-0.061466475318627575,0.01015812107495189,0.07884524882466828,0.020396217847731612,0.4038384588720271
