η,θ,β1,β2,β3,β4,objective
0.005,1.2,-0.027583301466648627,0.012632716501688778,-0.015157688529464324,0.0017267735611313012,0.007034206820176186
0.005,1.0,-0.024939093308113724,0.011488254781186672,-0.013437817601822747,0.0015259746655926474,0.007052444759034415
0.005,1.5,-0.03077737058846189,0.013967466827936356,-0.017447929546241442,0.001996813550559948,0.00705439018194558
0.005,2.0,-0.034612607935016505,0.015455321574481947,-0.02074457665125521,0.002390630246252009,0.007159244518911587
0.005,2.5,-0.03719376738305784,0.016323499877882144,-0.02364519568473167,0.0027409357913012237,0.007309507209810541
0.005,3.0,-0.038961837670901396,0.016793173895580486,-0.02631486755266477,0.003064782284725877,0.007483580786813585
0.01,1.0,-0.0473752713250421,0.02115086437330746,-0.02854629462100864,0.003292028135360973,0.007661379417760019
0.001,4.0,-0.009491415331813292,0.004396735471705169,-0.005010277027218121,0.0005669497836714983,0.007663081782863511
0.001,3.0,-0.008713700275941903,0.004058039971223796,-0.004522810422275236,0.0005101650925348316,0.007710974162087165
0.001,2.5,-0.008165481846951947,0.003812537799214471,-0.00420401302813616,0.0004734440199764239,0.007746663867187781
0.001,2.0,-0.007452593665490775,0.003488448965620031,-0.0038068140260040483,0.00042802143676953645,0.007794983583809944
0.001,1.5,-0.00649770847413794,0.003048957628022551,-0.003293712679270097,0.0003697325187106289,0.007862675571400678
0.005,4.0,-0.041086870162679,0.017057101673390557,-0.03124675644456945,0.003661627773479873,0.007870786591301648
0.001,1.2,-0.0057554429078705525,0.0027045621793304105,-0.0029044123116949987,0.00032571628146724267,0.007917457109266047
0.001,1.0,-0.005164222639858966,0.0024290465808202155,-0.002598427235639412,0.0002912137255038166,0.007962380269158922
0.01,1.2,-0.05179163894588817,0.022804248782494565,-0.0327860151817956,0.00380005115539121,0.008085026018869687
0.01,1.5,-0.05682075791280509,0.024478043578430874,-0.03883427918810643,0.004528768622292678,0.008788635546915563
0.01,2.0,-0.06236391560719659,0.025862423020292902,-0.04837976255609124,0.005679241808942358,0.0100580611715099
0.01,2.5,-0.06591896006177424,0.026308516038793646,-0.05736207188915688,0.006754290590652166,0.011398565840870655
0.01,3.0,-0.06863035234939648,0.02640486473408432,-0.06573865679979927,0.00774746841296269,0.012786378912841283
0.02,1.0,-0.0841561355273644,0.034863261401847485,-0.06665039880844059,0.007837368149057453,0.014138985228613543
0.01,4.0,-0.07391103001675521,0.026724665635423375,-0.0807196254201855,0.009503675056855596,0.015680726592646393
0.02,1.2,-0.09013212106681583,0.03618589359640178,-0.07905537795173016,0.009323075512633098,0.016856830486352427
0.02,1.5,-0.0969077020414773,0.0371743422697647,-0.09704021995820343,0.011460553314167945,0.02125847209192391
0.02,2.0,-0.10624567976555889,0.03817294356697797,-0.12466153808982733,0.014708707947463132,0.029333124149480017
0.02,2.5,-0.11612366469893562,0.039809447146117845,-0.14968748735367127,0.017631699641201235,0.038365769866668994
0.02,3.0,-0.1273995458439772,0.04244218375102305,-0.1732767237713195,0.02038394820332508,0.04860022649509699
0.02,4.0,-0.1530358475063473,0.04986719369645125,-0.21992598210774422,0.02583291970986409,0.073833736442086
0.05,1.0,-0.15829656617341223,0.0534079080122345,-0.23212754521603246,0.027393928188794027,0.08139167398651087
0.05,1.2,-0.1732313743361438,0.056203610085680554,-0.27825604603643705,0.032791281752174814,0.11049753712857889
0.05,1.5,-0.19819252317917432,0.06194273404665615,-0.348975920327428,0.041068866579974106,0.16517741330374894
0.05,2.0,-0.2458418940516058,0.07384284207890672,-0.4779105121631894,0.056160095394256156,0.2953787768037208
0.05,2.5,-0.2951959615144243,0.08545395936891745,-0.6154244703966806,0.07223589467710377,0.4757926299488839
0.1,1.0,-0.2782909527562051,0.07726420457871597,-0.6482267417008291,0.07619501230343338,0.5100593386301436
0.05,3.0,-0.33899650736957876,0.0944237895360774,-0.7482449673968917,0.08774277788764957,0.6886734675893502
0.1,1.2,-0.32088970650336235,0.08254366053908897,-0.8234896293032574,0.09670086017213388,0.7995141721067971
0.05,4.0,-0.40131633282194007,0.10361121137568083,-0.9750823172923834,0.114205941881763,1.134098051398236
0.1,1.5,-0.3695992309441641,0.08213265834415338,-1.088600653828534,0.12769022775388492,1.3511097416087257
