id,eta,epsilon_j,markdown
163560221,0.1,39.68794358914665,1.0251965687704079
163560395,0.1,31.29817802086586,1.0319507416480704
163560635,0.1,39.983729881491534,1.0250101729619503
163560758,0.1,37.99921424396344,1.0263163336373162
163560993,0.1,39.48507788535223,1.0253260232360075
163561136,0.1,38.67143481495832,1.025858880198911
163561937,0.1,38.932368040490275,1.0256855683414887
163562163,0.1,38.97461468980407,1.025657726393421
163562198,0.1,39.977905888145,1.025013816451465
163562358,0.1,32.46606958994893,1.0308013878067208
163562569,0.1,35.74031308196559,1.0279796094037184
16356285x,0.1,39.55645271932571,1.0252803254906484
163563019,0.1,39.874036629490185,1.025078975808043
163563166,0.1,39.56222257192659,1.0252766385453178
16356365x,0.1,39.66274191093152,1.02521257865242
16356445x,0.1,30.602884917326303,1.032676657860901
163565030,0.1,37.09637752632414,1.0269568099820632
163565778,0.1,32.17391749867962,1.0310810767772074
163566711,0.1,39.354215277632775,1.0254102385969404
163566834,0.1,39.99249471476648,1.0250046916835815
163567247,0.1,39.075994438086276,1.0255911593391294
163567343,0.1,32.64475933429513,1.0306327882451087
163567490,0.1,35.984080661207734,1.0277900666523916
163567685,0.1,39.54064041979309,1.0252904350911682
16356787x,0.1,36.39387612540157,1.027477150181924
163567984,0.1,39.11966522367144,1.0255625909445385
16356867x,0.1,34.73169595461298,1.028792144250796
163568709,0.1,39.162657921491345,1.0255345283766153
163568848,0.1,39.87386483326976,1.025079083860605
163569146,0.1,38.030074614618755,1.0262949786487034
163569381,0.1,39.93901299256715,1.0250381750842492
163569824,0.1,34.16499033626077,1.029269728753257
163569832,0.1,32.42976124886769,1.030835873021881
163570278,0.1,38.94017790177777,1.0256804168312326
163570649,0.1,39.85485723769367,1.0250910445880164
163570868,0.1,9.876706778224955,1.1012483231966232
163571449,0.1,39.19352204311149,1.025514420441726
16357173x,0.1,36.658266987786234,1.0272789763993257
163571887,0.1,39.78125483325505,1.0251374674879299
163571908,0.1,30.729487148686953,1.0325420334925026
163572492,0.1,17.040510833855105,1.0586836867597453
163572572,0.1,35.15494515673496,1.0284455002145956
163572652,0.1,39.77708701182433,1.0251401013780304
163572767,0.1,12.939909376594153,1.0772802939260773
163573196,0.1,39.663774728003325,1.0252119221344302
163573292,0.1,37.22375186297207,1.026864567647055
163573794,0.1,38.87100276154762,1.0257261179016774
163573903,0.1,39.15442730962156,1.025539895963547
163574148,0.1,39.51798146942548,1.0253049362041349
163574965,0.1,38.95712889345887,1.0256692427908338
163575108,0.1,39.9064233490842,1.0250586225493683
163575984,0.1,38.981141517349364,1.0256534303787623
163576098,0.1,39.388439690011154,1.0253881597714976
16357624x,0.1,37.11269799461175,1.0269449556091337
16357640x,0.1,37.64245257290308,1.0265657504134003
163576776,0.1,29.030283270118886,1.0344467875389045
163576880,0.1,29.77338888316264,1.0335870398873377
163576944,0.1,25.23176825707068,1.039632577067593
16357720x,0.1,35.75912571266406,1.0279648895231757
163577402,0.1,36.085704193026515,1.0277118050586151
163577867,0.1,36.342181319801234,1.0275162349557467
163578050,0.1,39.83424304831151,1.0251040291838152
163579002,0.1,39.72732723512528,1.025171590177248
163580118,0.1,39.35077532212816,1.0254124599023509
163580986,0.1,39.021443274185366,1.025626935246179
163581057,0.1,39.820331311494364,1.0251127995941949
163582121,0.1,39.948128358919895,1.0250324618719393
163582594,0.1,39.67304635390767,1.0252060300860033
163584856,0.1,39.920970695724,1.0250494910963452
163585330,0.1,38.116990029967845,1.0262350201108166
163587264,0.1,39.52245344499918,1.0253020729442224
163587483,0.1,34.2206450751853,1.029222125936052
16358790x,0.1,38.736231510739984,1.0258156243134477
163588160,0.1,39.904544240772346,1.0250598025619913
163588187,0.1,20.492256244156277,1.0487989213137605
163589614,0.1,39.025565248977934,1.0256242284671633
163591415,0.1,39.77544823021237,1.0251411371711565
163592047,0.1,39.9708763064962,1.0250182155710577
163592661,0.1,39.76404173507914,1.0251483490200097
163593461,0.1,39.908852457169544,1.0250570973212825
163594309,0.1,39.55558356161846,1.0252808809770744
163595344,0.1,39.798937153006754,1.0251262991309418
163598908,0.1,39.99038745469732,1.0250060092849274
163604239,0.1,39.53758784496485,1.025292387687413
163604423,0.1,38.638700231284446,1.0258807877597895
163607085,0.1,38.33760605604225,1.026084049132807
163608096,0.1,37.85141662039949,1.0264190904670412
163608723,0.1,39.8418520089774,1.0250992348391503
163611420,0.1,39.74151971288252,1.025162600907681
163615667,0.1,24.509351024466962,1.0408007539245625
163617398,0.1,39.99215305168135,1.025004905304991
163618710,0.1,39.653596658172376,1.0252183933936774
163619107,0.1,31.084133321876134,1.032170753794066
163621493,0.1,36.5204303932121,1.0273819335980736
163621733,0.1,39.22500192854644,1.025493943934576
163631368,0.1,39.84867775425254,1.0250949355501082
163633865,0.1,38.958027102871895,1.025668650965292
163637831,0.1,37.69066732037848,1.0265317669092933
16363880x,0.1,37.92215745627363,1.0263698077081467
163639909,0.1,39.40307325541812,1.0253787310831775
163642438,0.1,39.23759988575461,1.025485758632323
16364250x,0.1,39.3739147668539,1.0253975253901304
163643617,0.1,39.47251709165446,1.0253340823864365
163644265,0.1,39.13745750245198,1.0255509699355752
163644898,0.1,39.927727998696795,1.025045251761699
163657189,0.1,33.144789517762504,1.030170654710723
163660476,0.1,38.27415342015325,1.0261272924582427
163660628,0.1,35.771795038099434,1.027954985175749
163661487,0.1,38.75516627445542,1.0258030114725407
163662076,0.1,38.918715183400344,1.0256945789522498
163665605,0.1,39.289016546934704,1.0254524059874444
163666456,0.1,39.419929352086484,1.0253678790509317
163668099,0.1,39.78093747522565,1.0251376680256157
16367419x,0.1,39.885204340601575,1.0250719537866837
163700175,0.1,39.10264840382989,1.0255737153573992
163700239,0.1,39.80804535428451,1.0251205501576421
16371813x,0.1,39.49215176995097,1.0253214868064213
163719212,0.1,39.87872648215114,1.025076026448527
163741137,0.1,37.61089372775715,1.0265880414126398
163742818,0.1,38.45826266481032,1.0260022146272096
163743423,0.1,39.2075711330945,1.0255052779629064
163744872,0.1,39.81053183370353,1.0251189811825976
163747299,0.1,39.90777634488103,1.0250577729853463
163747424,0.1,36.779401839598975,1.027189131687382
163749569,0.1,39.8941546911227,1.0250663288329436
163751714,0.1,21.193404537775496,1.0471844907323682
163751757,0.1,39.74505426693819,1.0251603631808812
163781083,0.1,38.43124681830682,1.0260204932909864
163784946,0.1,38.11685301566099,1.026235114414853
163788170,0.1,38.86313169247332,1.0257313282911185
163789202,0.1,39.65153513353559,1.0252197045242326
163789376,0.1,34.3065722193141,1.0291489337263784
163791468,0.1,39.83129926321977,1.025105884530445
163792030,0.1,39.442338769326504,1.0253534661280705
163793201,0.1,39.36033370964331,1.0254062886604796
163793981,0.1,39.886668395352324,1.0250710335114508
163794933,0.1,39.82339441506134,1.0251108679882346
163795039,0.1,39.25072247715385,1.0254772380452883
163820679,0.1,39.93005451085567,1.025043792507925
163820812,0.1,34.27698784328708,1.029174092092688
163820927,0.1,39.627723727496786,1.0252348584762672
163822340,0.1,31.615612607105096,1.0316299422196002
163822404,0.1,39.91331652961533,1.025054294830599
16382328x,0.1,38.546953639409885,1.025942387285765
163825592,0.1,34.45021452920434,1.029027395436167
163826034,0.1,39.805914992652276,1.0251218945773408
163827272,0.1,38.89740787317991,1.0257086539869282
163829075,0.1,38.18577585566992,1.0261877617409079
163837251,0.1,39.743816504508644,1.0251611467632094
163837809,0.1,39.406219143562836,1.0253767050413247
163858001,0.1,37.17213920826543,1.0269018684772826
163858538,0.1,34.71840554859864,1.0288031660497832
163859629,0.1,39.58537156837378,1.0252618571047831
163860478,0.1,33.91263703416914,1.0294875328920141
163861606,0.1,38.13710827575529,1.0262211805040218
16386230x,0.1,34.63446206924055,1.0288729762281517
163863767,0.1,32.477006185326445,1.0307910154739512
163871812,0.1,32.69425574691139,1.0305864127246411
163899452,0.1,36.964762318265066,1.0270527912878227
163901671,0.1,36.345886431222354,1.0275134299418536
163904143,0.1,37.93495280398511,1.0263609132497709
163906077,0.1,39.84805217058202,1.025095329521232
163906085,0.1,35.69909852345416,1.0280119118230115
163907133,0.1,25.055025385768936,1.0399121527359534
163912215,0.1,9.629185853365083,1.1038509397604506
16391224x,0.1,32.92491917547602,1.0303721322646358
163912266,0.1,38.41181488039413,1.0260336566526154
163916726,0.1,35.02402462230337,1.0285518300876022
163918035,0.1,38.015095349534995,1.0263053397816146
163918190,0.1,36.81723135628622,1.0271611949938018
163922288,0.1,39.287792892524074,1.0254531987260167
16392454x,0.1,39.3812166600798,1.0253928162918766
163925577,0.1,38.93622579302508,1.025683023447515
163929332,0.1,39.470688942049215,1.0253352557759556
163931176,0.1,39.98787172522733,1.02500758247079
163932822,0.1,39.821418786468,1.0251121137938917
163934342,0.1,38.26447476753977,1.026133901120428
163941227,0.1,39.57259052098126,1.0252700161105148
163941462,0.1,39.61861671492102,1.0252406591374854
163942465,0.1,37.59344984414566,1.026600378633666
163943855,0.1,39.875685498469046,1.0250779387864917
163945076,0.1,39.16805673660901,1.0255310087688199
163947426,0.1,37.91043153724976,1.0263779640444721
163948074,0.1,39.985654845666886,1.0250089689379782
163948664,0.1,21.22526897190365,1.0471136550176925
163951206,0.1,39.94425124946206,1.0250348915981613
16395137x,0.1,14.107584123944179,1.0708838587255165
163952196,0.1,39.157028939917836,1.0255381990685348
16395241x,0.1,39.97314761158506,1.0250167940167458
163952612,0.1,39.69368547883469,1.0251929239609967
163956031,0.1,39.92304128340177,1.0250481919175771
163956373,0.1,39.48247761392913,1.0253276911793197
163957202,0.1,39.81249347682833,1.0251177435189287
16395778x,0.1,38.061950267718444,1.0262729574539993
163959750,0.1,34.66569203976084,1.02884696485658
163960022,0.1,38.60988649801558,1.0259001020386682
163963047,0.1,39.50385799347064,1.0253139832612117
163963063,0.1,39.243444385029534,1.0254819630557577
163963717,0.1,39.69522570931191,1.025191946440184
163964517,0.1,38.5827019052589,1.0259183507276275
163966141,0.1,39.75679273330642,1.0251529344106836
163966344,0.1,33.34017997998017,1.0299938392834254
163969078,0.1,36.97278571363143,1.0270469206119708
163972146,0.1,38.71532600089811,1.0258295642396709
163973253,0.1,39.22243403558594,1.0254956130232182
163977262,0.1,39.33528601851574,1.0254224667269303
16397802x,0.1,39.458076021631975,1.0253433542844759
163978206,0.1,39.36420029988198,1.025403793100885
163978361,0.1,39.28190492506092,1.0254570139077452
163978863,0.1,39.79870217620126,1.0251264474799375
163979276,0.1,39.37695281968773,1.0253955658930525
16398581x,0.1,36.95580895195338,1.0270593454279437
16398725x,0.1,14.964976765100767,1.0668226897840605
163990088,0.1,17.80484358466313,1.056164492276775
163997300,0.1,20.981467023396373,1.0476611096299846
163999306,0.1,39.132465670314,1.0255542292792095
163999824,0.1,35.741550483889014,1.0279786407265896
164000541,0.1,31.38094105519967,1.0318664758408929
164000787,0.1,37.238479723799216,1.0268539426801813
164033052,0.1,35.06802694250289,1.0285160040979662
164035752,0.1,38.901252835418376,1.0257061129684115
164036659,0.1,39.617414256112404,1.02524142523627
164039702,0.1,39.93920685135233,1.025038053552787
164041001,0.1,16.405991284837448,1.060953342144233
164055147,0.1,39.57894338639433,1.0252659599888096
164055438,0.1,23.26672054258417,1.042979843169979
164057417,0.1,28.79454891684028,1.0347287954705606
164064780,0.1,39.7673767482033,1.025146240002999
164065556,0.1,38.77479950961739,1.0257899463735969
164070259,0.1,36.7365239508353,1.027220866115104
164070582,0.1,39.63491107204267,1.0252302824190105
164071008,0.1,38.1905831923511,1.0261844652898697
164071411,0.1,39.71952724232863,1.0251765332930325
164075332,0.1,39.056654961987874,1.025603831177382
164076271,0.1,38.426250940490576,1.0260238762701224
164076466,0.1,38.57934285270317,1.025920607404279
164076511,0.1,38.36655491805262,1.0260643678364114
164077231,0.1,25.127491037243704,1.039797049316138
164079237,0.1,31.495169258196,1.0317509009652257
164080967,0.1,38.98387118667659,1.0256516341132835
16408823x,0.1,17.158999217023716,1.0582784571146715
164091121,0.1,39.79327630400677,1.025129873508287
164091543,0.1,39.06483703736352,1.0255984684908208
164092546,0.1,37.47936014020706,1.0266813519830404
164092909,0.1,39.78797176172862,1.025133223829265
164093186,0.1,27.14465597244086,1.0368396638003174
164094349,0.1,27.41739671933086,1.0364731929233435
164097160,0.1,39.32470072027408,1.0254293098659093
164097195,0.1,37.376267495399354,1.0267549455044727
164097259,0.1,37.30028084164843,1.026809449619034
164097355,0.1,38.61486377124956,1.0258967636380616
16409746x,0.1,34.31209379890386,1.0291442430141626
164097523,0.1,19.857320911436073,1.0503592606706622
164097611,0.1,39.745003250368626,1.0251603954766497
164097697,0.1,38.99272446827573,1.025645809920607
164098040,0.1,36.659680639794956,1.0272779244812753
164098091,0.1,39.32700048920051,1.025427822807758
169650199,0.1,34.49756043327192,1.0289875570168008
16965355x,0.1,39.90424069477437,1.025059993188417
169655539,0.1,38.821257593653165,1.02575908308966
16965646x,0.1,39.98713197081657,1.0250080451063561
169656937,0.1,39.516940817117984,1.02530560259277
169657833,0.1,38.32430558820583,1.026093101614025
169658641,0.1,39.953148743111186,1.0250293163732789
169661656,0.1,39.956733744157006,1.025027070691088
169662739,0.1,39.77714137031763,1.025140067022167
169663459,0.1,39.43460929051988,1.0253584355973422
169671870,0.1,36.442694191831805,1.0274403422188292
16967318x,0.1,39.58905431905195,1.0252595071339898
169674668,0.1,38.01110019564932,1.0263081046024145
169674676,0.1,38.92503274023248,1.025690408706231
169675601,0.1,39.63258591706753,1.0252317626231235
169675791,0.1,36.94210729549959,1.0270693816138048
169676284,0.1,38.810288545215535,1.0257663634434193
169677359,0.1,39.83810859457113,1.0251015933054681
169677906,0.1,39.79038107657864,1.0251317020079664
169677981,0.1,37.304627676730036,1.0268063257101956
194290738,0.1,37.60792680678005,1.0265901389655896
264570613,0.1,38.725333112184806,1.0258228895566388
264574251,0.1,38.09189869596613,1.0262523012565372
264575289,0.1,39.81418674559966,1.0251166752793341
26458103x,0.1,39.626583677998816,1.0252355844784877
264582788,0.1,35.145150364704165,1.0284534278448922
264583369,0.1,33.03635817102995,1.0302696802965683
264583457,0.1,31.875808060196476,1.0313717537171616
264583676,0.1,36.03867114539772,1.0277479709494701
264584097,0.1,38.67092678334142,1.0258592199148115
264585719,0.1,39.97369060970259,1.0250164541914295
264586826,0.1,37.76381147558203,1.0264803779313059
264586893,0.1,39.61449664469823,1.0252432842696193
264588928,0.1,39.486520713939825,1.0253250978288135
264589111,0.1,39.80368200108175,1.0251233039187888
264589314,0.1,27.54147778631186,1.0363088723037586
264590489,0.1,35.40473571228116,1.0282448090596288
264590884,0.1,39.99110138374632,1.0250055628727053
264592433,0.1,36.31811985539948,1.0275344649993308
264592783,0.1,33.73865547853496,1.0296395925035073
264594113,0.1,39.12232773087343,1.025560851258113
264594121,0.1,38.46389471742419,1.0259984072685961
264594295,0.1,38.44570148137677,1.0260107102086407
264595044,0.1,39.78892366632232,1.0251326225455655
264595669,0.1,38.08919197447466,1.0262541668164067
264597859,0.1,36.72564083559303,1.0272289326271153
264598237,0.1,35.230890732538924,1.0283841815863148
264598405,0.1,38.8726548146391,1.0257250245646563
264598616,0.1,39.68722824332624,1.0251970229281042
264598835,0.1,39.8368673850454,1.0251023754035287
264604502,0.1,39.289871945656266,1.0254518518508573
264606188,0.1,39.37996009903036,1.0253936265421615
264607543,0.1,39.41646501627048,1.0253701086484346
264608204,0.1,38.46086600183586,1.026000454590707
264608853,0.1,37.82632575840707,1.0264366147107942
26461118x,0.1,39.398105569122166,1.0253819310739585
264617290,0.1,37.30020606822044,1.0268095033622882
264618939,0.1,39.019047912659374,1.0256285084720265
264619384,0.1,37.72396999734072,1.0265083446962366
264627202,0.1,19.703204479175866,1.0507531656110503
264627210,0.1,34.052302012153916,1.0293665902423597
264627317,0.1,35.80730719680127,1.0279272606148202
264627595,0.1,26.749915936034927,1.037383295050019
264628176,0.1,39.9577256038556,1.0250264494509544
264628221,0.1,39.13297390531011,1.025553897396597
264628467,0.1,36.546343025900796,1.027362518851511
264628678,0.1,37.65448679720506,1.0265572601051682
26462882x,0.1,33.22279743721722,1.030099813295065
26462890x,0.1,39.3811757280901,1.0253928426846513
264629398,0.1,29.356618115794618,1.0340638692118957
264629734,0.1,39.804947663506724,1.0251225050828745
264630065,0.1,39.340345508649435,1.0254191971898197
264630348,0.1,34.196280297544156,1.029242946639194
264630372,0.1,35.9971485485775,1.0277799781460613
264630866,0.1,36.55521938514731,1.0273558746690576
264631295,0.1,38.54780961707617,1.0259418112192038
264631631,0.1,39.57250532384992,1.0252700705152804
264706517,0.1,39.8861452142024,1.0250713623647925
264709865,0.1,39.68127637653441,1.0252008022753862
264713506,0.1,39.899337790413135,1.0250630726066907
264715544,0.1,36.736108693087886,1.0272211738144208
264715771,0.1,39.99482941194321,1.0250032320353235
264715923,0.1,39.69456854054193,1.0251923635088427
26471850x,0.1,37.7559079331636,1.026485921137699
264718649,0.1,39.8387437245458,1.0251011931228111
264723229,0.1,39.98485642176665,1.0250094683210023
264724520,0.1,39.193239173550275,1.0255146045870802
264726024,0.1,39.36298161713901,1.025404579605438
26472853x,0.1,39.23048939815482,1.0254903779009965
264734905,0.1,39.9291007004723,1.0250443907440212
264740707,0.1,39.09853797853798,1.0255764039194744
264742921,0.1,39.189517986206816,1.0255170272916334
26474760x,0.1,39.95648812977994,1.025027224533647
264755124,0.1,34.95259887658273,1.028610175842174
264760695,0.1,39.73469922157173,1.0251669200872446
264762412,0.1,39.585369192490944,1.0252618586209798
264763001,0.1,39.662335473293766,1.0252128370169562
264763386,0.1,39.08678545330461,1.0255840941740952
264763407,0.1,39.9231610755913,1.025048116758755
26476360x,0.1,39.55034437566041,1.0252842299045923
264765250,0.1,39.996751287316194,1.0250020306103491
264766288,0.1,39.85965149077485,1.0250880266785936
264766616,0.1,38.582227927041224,1.0259186691315751
264767109,0.1,39.14193194249363,1.0255480491220816
264767600,0.1,39.03885341454187,1.0256155064130932
264767678,0.1,39.91613925309622,1.0250525230824379
264767889,0.1,27.783484509721788,1.0359926055945246
264771116,0.1,35.88086345285019,1.027870009352313
264771191,0.1,39.851758544222726,1.0250929955547714
264773795,0.1,38.2924570927129,1.0261148036956422
26477419x,0.1,39.98527635956017,1.025009205663797
264777972,0.1,38.91719253026674,1.0256955842645195
264781242,0.1,35.54962092817427,1.0281296951666639
264781429,0.1,39.89360556319807,1.0250666738662124
264782683,0.1,39.97663679506351,1.0250146105368094
264784267,0.1,39.93466399640683,1.0250409018112678
264786203,0.1,39.80437898005248,1.0251228640070265
264786422,0.1,39.83586549174132,1.025103006741684
264797068,0.1,39.77717824910563,1.0251400437139475
264798845,0.1,39.11204485238876,1.025567571416275
264799725,0.1,16.484009483635294,1.0606648522613846
264799784,0.1,39.25054571943861,1.0254773527774101
264801493,0.1,38.54551716383721,1.025943354080567
264801522,0.1,37.30114432774958,1.0268088290057114
264808839,0.1,37.97972546778961,1.0263298375036463
264809196,0.1,39.64797031194124,1.0252219720740363
264809233,0.1,38.997832273560405,1.0256424509184316
264809305,0.1,20.61017025897238,1.0485197350354087
264810226,0.1,37.3562242705981,1.0267693006861796
264810373,0.1,21.488224746384663,1.0465371156436851
264812715,0.1,39.95461250808036,1.025028399406896
264813734,0.1,38.75531299589339,1.025802913786452
264813929,0.1,21.875950530098937,1.045712299386676
264813996,0.1,26.761698199444574,1.037366836459607
264821136,0.1,37.86760219994939,1.0264077982735684
264821611,0.1,39.17257123001961,1.0255280664148403
264821953,0.1,26.70794798434715,1.0374420378752451
264824265,0.1,39.44012149864325,1.0253548914658999
264826025,0.1,39.470234181860306,1.0253355476785992
26482701x,0.1,39.64871777465132,1.0252214965861854
264833620,0.1,39.98020451330031,1.0250123783050515
264834762,0.1,37.80580542642165,1.0264509640442978
264835298,0.1,39.610763908181724,1.0252456630808235
264835335,0.1,39.7251859025507,1.0251729470178714
264835482,0.1,39.695964745095544,1.025191477431558
264836493,0.1,39.85772821347376,1.0250892372652076
26483755x,0.1,39.89387848242482,1.0250665023818266
264843140,0.1,39.7301702735367,1.0251697889315636
264850148,0.1,30.80596925640034,1.0324612412509058
264850826,0.1,39.934474966693365,1.025041020342299
264854843,0.1,39.74820915897564,1.0251583661543198
266970514,0.1,39.3919546274594,1.0253858943902956
26697067x,0.1,39.524774318910545,1.0253005872198377
294295907,0.1,39.96957038257629,1.025019032990055
427401006,0.1,38.493763986736184,1.0259782337820893
42800001x,0.1,39.22475715273021,1.025494103025451
428000079,0.1,35.592989124369424,1.0280954206039226
490713611,0.1,39.915504270946236,1.0250529216219344
550801048,0.1,39.13833356711452,1.0255503980077536
550806906,0.1,39.23349034939113,1.0254884281539718
550806973,0.1,23.8160895246567,1.041988421271456
550809592,0.1,39.984177155890556,1.025009893191029
550811027,0.1,39.9709850271202,1.025018147521796
550813161,0.1,39.19002536393111,1.0255166969327956
