η,θ,β1,β2,objective
2.0,16.0,-0.011765401912053186,0.05324796612076685,0.008133667570405597
2.5,16.0,-0.00970513951075562,0.05211751905379647,0.008562833666037772
2.0,12.0,-0.009530396811557759,0.05154001020387743,0.008640367908626899
1.5,16.0,-0.008461425922511822,0.052451015488999934,0.008741889837246351
2.5,12.0,-0.008644271610673195,0.05145728196561374,0.008794763725389959
3.0,12.0,-0.005874553373549064,0.050035255116996066,0.00938841158884565
3.0,16.0,-0.005761928292055263,0.049783113143187674,0.009430090909012864
1.5,12.0,-0.0055987247977982565,0.04914221589401686,0.009515377197696242
2.5,8.0,-0.005150237130467936,0.049906007449938776,0.009525421053625804
3.0,8.0,-0.0044225654222632685,0.04999279028690125,0.009645060861290996
2.0,8.0,-0.004067327170977041,0.04816197351564261,0.009871911584431752
1.5,8.0,0.000529272516968883,0.04323788153778755,0.011178887263133184
