η,θ,σ,α,β_labor_bigMA,β_labor_bigMA_wdiff,β_wage_bigMA,objective
0.1,5,1,0.8,0.0097,0.0026,-0.0019,0.0420
0.1,1,0.25,0.8,0.0093,0.0019,-0.0018,0.0421
0.1,3,0.75,0.8,0.0094,0.0021,-0.0019,0.0421
0.5,1,0.5,0.8,0.0151,0.0074,-0.0029,0.0421
0.5,0.5,0.25,0.8,0.0153,0.0069,-0.0029,0.0423
0.5,0.5,1,0.8,0.0108,0.0021,-0.0022,0.0424
0.7,1,0.75,0.8,0.0168,0.0080,-0.0033,0.0424
0.3,0.5,0.5,0.8,0.0113,0.0022,-0.0023,0.0425
0.3,1,1,0.8,0.0115,0.0023,-0.0023,0.0425
0.9,1,1,0.8,0.0177,0.0086,-0.0035,0.0426
0.3,1,0.75,0.8,0.0133,0.0030,-0.0026,0.0428
0.5,0.5,0.75,0.8,0.0131,0.0027,-0.0026,0.0428
0.9,0.5,0.5,0.8,0.0180,0.0076,-0.0035,0.0429
0.3,1,0.5,0.8,0.0148,0.0041,-0.0029,0.0429
0.3,0.5,0.25,0.8,0.0148,0.0039,-0.0029,0.0430
0.7,0.5,1,0.8,0.0141,0.0030,-0.0028,0.0430
0.5,1,0.75,0.8,0.0169,0.0054,-0.0033,0.0431
0.7,1,1,0.8,0.0179,0.0064,-0.0035,0.0432
0.5,1,1,0.8,0.0161,0.0042,-0.0032,0.0432
0.5,0.5,0.5,0.8,0.0159,0.0039,-0.0031,0.0433
0.7,0.5,0.5,0.8,0.0179,0.0058,-0.0035,0.0433
0.7,0.5,0.75,0.8,0.0163,0.0040,-0.0032,0.0434
0.9,0.5,1,0.8,0.0165,0.0041,-0.0033,0.0434
0.9,0.5,0.75,0.8,0.0182,0.0054,-0.0036,0.0435
0.3,3,0.5,0.8,Inf,Inf,Inf,10000000000.0000
0.3,5,0.75,0.8,Inf,Inf,Inf,10000000000.0000
0.3,10,1,0.8,Inf,Inf,Inf,10000000000.0000
0.5,5,0.75,0.8,Inf,Inf,Inf,10000000000.0000
0.5,10,1,0.8,Inf,Inf,Inf,10000000000.0000
0.7,1,0.25,0.8,Inf,Inf,Inf,10000000000.0000
0.7,5,0.75,0.8,Inf,Inf,Inf,10000000000.0000
0.7,7,0.25,0.8,Inf,Inf,Inf,10000000000.0000
0.7,7,0.75,0.8,Inf,Inf,Inf,10000000000.0000
0.7,10,0.5,0.8,Inf,Inf,Inf,10000000000.0000
0.7,10,0.75,0.8,Inf,Inf,Inf,10000000000.0000
0.9,3,0.5,0.8,Inf,Inf,Inf,10000000000.0000
0.9,5,0.25,0.8,Inf,Inf,Inf,10000000000.0000
0.9,5,0.5,0.8,Inf,Inf,Inf,10000000000.0000
0.9,7,0.5,0.8,Inf,Inf,Inf,10000000000.0000
0.9,7,0.75,0.8,Inf,Inf,Inf,10000000000.0000
0.9,10,0.75,0.8,Inf,Inf,Inf,10000000000.0000
